customer_id,customer_feedback,support_chat_excerpt,reason_for_low_activity,
C100054,"Slightly disappointed with the wait, but the product itself was okay.  Shipping was a bit slow, but I'll probably order again sometime.","Customer: 'Hi, my order still hasn't arrived!  It's been ages.'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100055,,,,
C100056,"Sangat kecewa dengan delivery, lambat sangat! And the product itself was abit faulty, need refund.  Seriously considering looking elsewhere now.","Customer: My order is still not here!  It was supposed to arrive last week.
Agent: I apologize for the delay, let me check on the status for you.",Delivery delay & refund issue,
C100057,,,,
C100058,"Sangat kecewa dengan tak ada order baru.  Maybe kalau ada promo lagi, saya akan belanja lagi lah.  Shipping agak lambat juga, tak pasal-pasal risau.","Customer:  Saya dah 29 hari tak order apa-apa.  Agent:  Maafkan lambat, kami sedang meningkatkan sistem pengiriman kami.",Lack of promotions,
C100059,"Sangat kecewa dengan delivery, selalu lambat!  And the product also not as expected, need refund lah.","Customer: My order is still not here!  It's been so long.
Agent: We sincerely apologize for the delay. Let me check on the status for you.",Late delivery issues,
C100060,,,,
C100061,,,,
C100062,,,,
C100063,"Sangat kecewa dengan delivery, lambat sgt! And the refund process also took ages, not happy at all.  Sangat mengecewakan, perlu improve sikit.","Customer: 'My order is still not here! What's going on?'
Agent: 'We sincerely apologize for the delay, sir. We're looking into it now.'",Delivery delay & refund issue,
C100064,,,,
C100065,"Sangat kecewa dengan delivery, lambat sgt! And the refund process also took ages, not happy at all.  Sangat mengecewakan.","Customer: 'My order is still not here!  It was supposed to arrive last week.'  Agent: 'I apologize for the delay, let me check on the status for you.'",Delivery delay & refund issue,
C100066,,,,
C100067,"Slightly disappointed with the wait, but overall still happy with the shop.  Shipping was a bit slow this time, but the products are good!","Customer: 'Hi, my order still hasn't arrived!  It was supposed to be here last week.'  Agent: 'I'm so sorry for the delay, let me check on that for you immediately.'",Delivery delay,
C100068,,,,
C100069,,,,
C100070,"Sangat kecewa dengan lambatnya penghantaran.  Takde lah sbb busy, tapi sbb order dah lama tu.  Maybe next time will try another shop.","Customer:  My order still hasn't arrived!  It's been ages.
Agent:  I'm so sorry for the delay, sir. Let me check on that for you.",Delivery delay,
C100071,,,,
C100072,,,,
C100073,,,,
C100074,,,,
C100075,,,,
C100076,"Sangat kecewa dengan tempoh penghantaran, dah lama sgt!  Takde pulak notif yg betul, susah nak tahu bila barang sampai.","Customer:  Saya dah tunggu lama sgt, bila barang saya?",Delivery delay,
C100077,,,,
C100078,"Sangat kecewa dengan delivery, lambat sangat!  Takde lah sbb nak pakai baju ni.","Customer: My order is still not here!  It was supposed to arrive last week.
Agent:  I apologize for the delay, sir. Let me check on the status for you.",Late delivery,
C100079,,,,
C100080,,,,
C100081,"Sangat kecewa dengan lambatnya penghantaran.  Saya dah belanja, tak pasal pulak.",Customer: My order still hasn't arrived!  It was supposed to be here last week.,Delivery delay,
C100082,,,,
C100083,"Slightly disappointed with the delivery this time, took a bit longer than expected.  Still love the products though, but need faster shipping!","Customer: 'My refund hasn't been processed yet, can you check?' Agent: 'Absolutely, let me look into that for you right away.'",Refund processing delay,
C100084,,,,
C100085,,,,
C100086,"Sangat kecewa dengan delivery, lambat sangat!  Then the product itself wasn't quite what I expected, so I had to request a refund.  Hope things improve next time.",Customer: 'My order is still not here!  It was supposed to arrive weeks ago.'  Agent: 'I sincerely apologize for the delay. Let me check on the status for you.',Product quality issue & refund,
C100087,,,,
C100088,,,,
C100089,,,,
C100090,,,,
C100091,,,,
C100092,,,,
C100093,,,,
C100094,,,,
C100095,,,,
C100096,,,,
C100097,,,,
C100098,,,,
C100099,"Sangat kecewa dengan order saya. Dah lama sangat tak ada update, macam hilang je barang saya.  Maybe next time check delivery better lah.","Customer: Where's my order? It's been ages!
Agent: I'm so sorry for the delay, let me check on that for you.",Delivery delay,
C100100,"Sangat kecewa dengan poslaju, lambat sangat!  Takde pulak notification pasal delivery.  Need to improve this, seriously.",Customer: My order still hasn't arrived!  It was supposed to be here last week.,Late delivery issue,
C100101,"Sangat kecewa dengan lambatnya penghantaran.  Takde lah sbb busy, tapi sbb dia slow sikit.  Hope next time better!","Customer:  My order still hasn't arrived!  It was supposed to be here last week.
Agent:  I'm so sorry for the delay, sir. Let me check on the status for you.",Delivery delay,
C100102,,,,
C100103,,,,
C100104,,,,
C100105,,,,
C100106,,,,
C100107,"Slightly disappointed with the wait, but the product itself was okay.  Shipping could be faster next time, maybe?","Customer: 'Hi, my order is still not here!  It's been ages!'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100108,,,,
C100109,"Sangat kecewa dengan lambatnya penghantaran.  Saya dah tak sabar nak beli lagi, maybe nanti.",Customer: My order still hasn't arrived!  It was supposed to be here last week.,Delivery delay,
C100110,,,,
C100111,"Sangat disappointed lah dengan delivery, took so long!  I really wanted to buy this item sooner, but it's too late now.","Customer:  My order is still not here!  It was supposed to arrive weeks ago.
Agent:  I apologize for the delay, let me check on the status for you.",Delivery delay,
C100112,,,,
C100113,"Sangat kecewa dengan tak ada order baru.  Maybe kalau ada promo lagi, saya akan belanja lagi lah.  Shipping also a bit slow, I think.","Customer: Hi, I haven't ordered anything in a while.  Agent: Sorry to hear that!  Is there anything we can do to help you get started?",lack of promotions,
C100114,,,,
C100115,"Sangat disappointed lah dengan order saya. Took so long to arrive, and the packaging was abit damaged.  Need to improve delivery service!",Customer: My order is still not here!  It's been ages.,Long delivery time,
C100116,,,,
C100117,,,,
C100118,,,,
C100119,,,,
C100120,,,,
C100121,,,,
C100122,,,,
C100123,"Sangat kecewa dengan lambatnya penghantaran.  Saya dah lama tak order, harap next time lebih pantas.",Customer:  My order still hasn't arrived!  It's been ages.,Delivery delay,
C100124,"Sangat kecewa dengan delivery, lambat sgt!  Takde notification pun.  Hopefully next time better.","Customer: My order is still not here!  It was supposed to arrive last week.
Agent: We apologize for the delay, sir. Let us investigate immediately.",Late delivery,
C100125,,,,
C100126,"Slightly disappointed with the delay, but overall still happy with the shop.  Shipping needs to be faster, maybe?","Customer: 'My order is taking so long!  Where is it?'
Agent: 'I'm so sorry for the delay, let me check on that for you right away.'",Delivery delay,
C100127,,,,
C100128,"Sangat disappointed lah, order dah lama sgt dtg, takde apa2.  Maybe next time try another shop.",Customer: My order is still not here!  It's been ages.,Long delivery time,
C100129,"Slightly disappointed, the delivery took a while.  Still like the shop though, just need faster shipping next time!  Terus, takde masalah lah.","Customer: Hi, my order still hasn't arrived.  Agent:  I'm so sorry for the delay, let me check on that for you.",Long time since last order,
C100130,,,,
C100131,,,,
C100132,,,,
C100133,,,,
C100134,,,,
C100135,"Slightly disappointed with the wait, but the product itself was okay. Shipping could be faster next time, maybe?","Customer: 'Hi, my order still hasn't arrived!  It was supposed to be here ages ago.'",Delivery delay,
C100136,,,,
C100137,,,,
C100138,,,,
C100139,,,,
C100140,"Sangat kecewa, dah lama sgt order tak sampai.  Maybe next time try another shop lah.",Customer: My order still hasn't arrived!  It's been so long.,Delivery delay,
C100141,"Sangat kecewa, dah lama sgt dtg barang.  Maybe next time better sikit delivery. ",Customer:  My order still hasn't arrived!  It's been ages.,Delivery delay,
C100142,,,,
C100143,,,,
C100144,,,,
C100145,,,,
C100146,,,,
C100147,"Slightly disappointed with the delivery, took a bit longer than expected.  Still, the product was okay, but maybe a little pricey for what it is.","Customer: 'Hi, my order is still not here!  It was supposed to arrive last week.'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100148,,,,
C100149,,,,
C100150,,,,
C100151,,,,
C100152,,,,
C100153,,,,
C100154,,,,
C100155,"Slightly disappointed with the wait, but the product itself was good!  Shipping could be faster next time, maybe?","Customer: 'Hi, my order is still not here!  It was supposed to arrive last week.'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100156,,,,
C100157,,,,
C100158,"Sangat kecewa dengan delivery, lambat sgt!  Takde notification pun.  Hopefully next time better lah.","Customer: My order is still not here!  It was supposed to arrive last week.
Agent: We sincerely apologize for the delay. Let us investigate immediately.",Late delivery,
C100159,,,,
C100160,,,,
C100161,,,,
C100162,,,,
C100163,"Sangat kecewa, dah lama sgt order tak sampai.  Maybe next time try another shop lah.",Customer: My order still hasn't arrived!  It's been ages.,Delivery delay,
C100164,,,,
C100165,,,,
C100166,,,,
C100167,,,,
C100168,"Sangat kecewa, dah lama sgt dtg barang.  Maybe next time better sikit delivery. ",Customer:  My order still hasn't arrived!  It was supposed to be here ages ago.,Delivery issues,
C100169,,,,
C100170,"Slightly disappointed with the wait, really wanted to get this item sooner. Shipping was a bit slow, but the product itself is okay, I guess.","Customer: 'Hi, my order is still not here! I ordered it like ages ago.' Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100171,,,,
C100172,,,,
C100173,,,,
C100174,"Slightly disappointed, the delivery took a while.  I really wanted to buy more, but things got busy lately.  Maybe a little discount would help me come back!","Customer: Hi, my order is still not here!  It's been ages.
Agent:  I'm so sorry for the delay, let me check on that for you right away.",long time since last order,
C100175,"Sangat kecewa, dah lama sgt dtg barang.  Maybe next time better sikit delivery time lah. ",Customer:  My order still hasn't arrived!  It's been ages.,Long delivery time,
C100176,,,,
C100177,,,,
C100178,,,,
C100179,"Sangat kecewa dengan order saya. Dah lama sangat tak ada update, macam hilang je barang saya.  Maybe next time check delivery better lah.","Customer: Where's my order? It's been ages!
Agent: I'm so sorry for the delay, let me check on that for you.",Delivery delay,
C100180,,,,
C100181,,,,
C100182,,,,
C100183,,,,
C100184,"Sangat kecewa dengan lambatnya penghantaran.  Takde lah sbb busy, tapi sbb order dah lama tu.  Maybe next time will think twice before order.","Customer:  My order still hasn't arrived!  It's been ages.
Agent:  I'm so sorry for the delay, sir. Let me check on that for you.",Delivery delay,
C100185,,,,
C100186,,,,
C100187,,,,
C100188,"Slightly disappointed with the wait, but the product itself was okay.  Shipping was a bit slow, but I'll probably order again sometime.","Customer: 'Hi, my order still hasn't arrived!  It's been ages.'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100189,,,,
C100190,,,,
C100191,,,,
C100192,"Slightly disappointed with the delivery, took a bit longer than expected. Still, the product was okay, but could be better lah.","Customer: 'My order still hasn't arrived!  It was supposed to be here last week.' Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100193,,,,
C100194,,,,
C100195,"Slightly disappointed with the wait, but the product itself was okay.  Shipping could be faster next time, maybe?","Customer: 'Hi, my order is still not here!  It was supposed to arrive last week.'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100196,"Sangat kecewa dengan lambatnya penghantaran.  Saya dah tak sabar nak beli lagi, maybe nanti.","Customer: Hi, my order is still not here!  Agent:  We apologize for the delay, let us check on that for you.",Delivery delay,
C100197,,,,
C100198,"Sangat kecewa dengan refund-nya, produknya tak sesuai gambar.  Sbb tu dah tak order dah sikit.","Customer:  Saya nak tanya pasal refund saya.  Support:  Okay, boleh tolong confirm order number anda?",Product quality issue,
C100199,Sangat kecewa dengan lambatnya penghantaran.  Saya dah tak sabar nak dapat barang ni.,Customer: My order still hasn't arrived!  It was supposed to be here weeks ago.,Delivery delay,
C100200,,,,
C100201,,,,
C100202,,,,
C100203,"Slightly disappointed with the wait, really wanted to get this item sooner. Shipping was a bit slow, but the product itself is okay, I guess.","Customer: 'Hi, my order is still not here! It was supposed to arrive last week.' Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100204,,,,
C100205,,,,
C100206,,,,
C100207,,,,
C100208,"Aduh, sikit kecewah lah. I thought my order would arrive by now, but it's still not here.  Need to check with them again, maybe.",Customer: 'Where's my order? I placed it ages ago!',Delivery delay,
C100209,"Sangat kecewa dengan lambatnya penghantaran.  Saya dah tak sabar nak beli lagi, maybe nanti.",Customer: My order still hasn't arrived!  It was supposed to be here a week ago.,Delivery delay,
C100210,"Slightly disappointed with the wait, really wanted to get this stuff sooner. Shipping was a bit slow, but the product itself is okay, I guess.","Customer: 'Hi, my order is still not here! It was supposed to arrive last week.' Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100211,,,,
C100212,,,,
C100213,,,,
C100214,,,,
C100215,,,,
C100216,,,,
C100217,,,,
C100218,"Sangat kecewa dengan delivery, lambat sgt! And the refund process also took ages, really frustrating.","Customer: 'My order was supposed to arrive last week, where is it?!' Agent: 'I apologize for the delay, let me check on that for you.'",Delivery delay & refund issues,
C100219,,,,
C100220,"Sangat kecewa dengan lambatnya penghantaran.  Saya dah tak sabar nak beli lagi, maybe nanti.",Customer: My order still hasn't arrived!  It was supposed to be here a week ago.,Delivery delay,
C100221,"Sangat kecewa dengan lambatnya penghantaran.  Takde lah sbb busy, tapi sbb order dah lama tu.  Maybe next time will think twice before order.","Customer:  My order still hasn't arrived!  It's been ages.
Agent:  I'm so sorry for the delay, sir. Let me check on that for you.",Delivery delay,
C100222,,,,
C100223,,,,
C100224,,,,
C100225,,,,
C100226,,,,
C100227,,,,
C100228,,,,
C100229,,,,
C100230,,,,
C100231,"Sangat kecewa dengan delivery, lambat sangat!  Takde lah sbb nak pakai baju ni.",Customer: My order is still not here!  It's been ages.,Late delivery,
C100232,,,,
C100233,"Sangat kecewa dengan lambatnya penghantaran.  Saya dah tunggu lama sangat, tak sabar nak dapat barang.",Customer: My order still hasn't arrived!  It was supposed to be here last week.,Delivery delay,
C100234,,,,
C100235,,,,
C100236,"Slightly disappointed with the wait, but still appreciate the items.  Shipping was a bit slow this time, maybe next time can be faster lah.","Customer:  Hi, my order still hasn't arrived!  Agent:  I'm so sorry for the delay, let me check on that for you.",Delivery delay,
C100237,"Sangat kecewa dengan order saya, dah lama sangat!  Takde apa-apa berita pasal delivery, macam hilang je.  Hopefully next time better lah.",Customer:  Saya dah 86 hari tak order apa-apa!  Where's my order?,Long time no order,
C100238,,,,
C100239,"Sangat kecewa, dah lama sgt tak order.  Shipping sgt lambat, takde update pun.","Customer:  Saya dah 114 hari tak order!  Agent:  Maafkan lambat, kita akan selidik isu ini.",Delivery delay,
C100240,"Sangat kecewa, dah lama sgt order tak sampai.  Maybe next time try another shop lah.",Customer: My order still hasn't arrived!  It's been ages.,Lack of new product interest,
C100241,,,,
C100242,,,,
C100243,"Slightly disappointed with the wait, but the product itself was okay.  Shipping was a bit slow, maybe next time can be faster lah.","Customer:  Hi, my order still hasn't arrived!  Agent:  I'm so sorry for the delay, let me check on that for you.",Delivery delay,
C100244,"Sangat kecewa dengan order lepas ni, lambat sangat!  Takde update pun.  Hopefully next time delivery cepat.",Customer:  My order is still not here!  It's been ages.,Delayed delivery,
C100245,,,,
C100246,,,,
C100247,"Slightly disappointed with the wait time, but the product itself was okay.  Shipping could be faster next time, maybe?","Customer: 'Hi, my order still hasn't arrived!  It was supposed to be here last week.'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100248,,,,
C100249,,,,
C100250,,,,
C100251,,,,
C100252,,,,
C100253,,,,
C100254,"Sangat kecewa, dah lama sgt order tak sampai.  Maybe next time try another shop lah.",Customer: My order still hasn't arrived!  It's been ages.,Lack of new product interest,
C100255,,,,
C100256,,,,
C100257,,,,
C100258,,,,
C100259,"Slightly disappointed with the wait, really wanted to get this item sooner. Shipping was a bit slow, but the product itself is okay, I guess.","Customer: 'Hi, my order is still not here!  It's been ages!'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100260,,,,
C100261,"Sangat kecewa, dah lama sgt order tak sampai.  Maybe next time check delivery timing better lah.","Customer: My order still hasn't arrived!  Agent: We're so sorry for the delay, let us investigate immediately.",Delivery delay,
C100262,,,,
C100263,,,,
C100264,,,,
C100265,"Sangat kecewa dengan poslaju, lambat sangat!  Takde pulak notification kalau barang dah sampai.  Need better tracking lah.","Customer: My order is still not here!  It was supposed to arrive weeks ago.
Agent: I apologize for the delay, sir. Let me check on the status for you.",Late delivery issue,
C100266,"Slightly disappointed with the delay, but overall still happy with the shop.  Shipping needs to be faster, maybe?","Customer: 'My order still hasn't arrived!  It was supposed to be here last week.'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100267,,,,
C100268,,,,
C100269,,,,
C100270,"Slightly disappointed with the wait, but the product itself was okay. Shipping could be faster next time, maybe?","Customer: 'Hi, my order still hasn't arrived! It was supposed to be here last week.' Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100271,"Sangat kecewa dengan order lepas tu, lambat sikit.  Takde pulak notification pasal delivery, agak risau.","Customer:  Saya nak tanya pasal order saya, dah lama sangat.",Refund issue,
C100272,,,,
C100273,,,,
C100274,"Sangat kecewa dengan delivery, dah lama sgt!  Takde notification pun.  Hopefully next time delivery lebih cepat.",Customer: My order still hasn't arrived!  It's been ages.,Late delivery issues,
C100275,"Sangat disappointed lah dengan order saya. Took so long to arrive, and the packaging was abit damaged.  Need to improve delivery service!",Customer: My order is still not here!  It's been ages.,Long delivery time,
C100276,,,,
C100277,"Sangat kecewa dengan delivery, dah lama sgt!  Takde notification pun.  Hopefully next time delivery lebih cepat.","Customer: My order is still not here!  It's been so long.
Agent: We sincerely apologize for the delay. Let us investigate immediately.",Late delivery,
C100278,,,,
C100279,,,,
C100280,,,,
C100281,,,,
C100282,"Sangat kecewa dengan lambatnya penghantaran.  Saya dah tak sabar nak beli lagi, maybe nanti.",Customer: My order still hasn't arrived!  It was supposed to be here a week ago.,Delivery delay,
C100283,,,,
C100284,,,,
C100285,"Sangat kecewa dengan refund-nya, produknya tak sesuai yang saya order.  Sbb tu dah tak minat belanja online sbb risai.","Customer:  Saya nak return barang ni, sebab tak betul.  Agent:  Okay, boleh tolong confirm order number anda?",Product quality issue,
C100286,"Slightly disappointed with the delivery, it took a bit longer than expected. Still, the items were okay, but could be better lah.","Customer: 'My order still hasn't arrived!  It was supposed to be here yesterday.' Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100287,"Sangat kecewa dengan delivery, lambat sgt!  Hopefully next time delivery cepat sikit.  Still like the products though!","Customer: My order is still not here!  It was supposed to arrive last week.
Agent: I apologize for the delay, sir. Let me check on the status for you.",Late delivery,
C100288,,,,
C100289,"Sangat kecewa dengan refund-nya, produknya tak sesuai gambar.  Sbb tu dah tak order dah sikit.","Customer:  Saya nak tanya pasal refund saya.  Agent:  Okay, boleh saya bantu?  Customer:  Saya order baju tapi warna dia tak macam gambar.",Product quality issue,
C100290,,,,
C100291,"Sangat kecewa dengan order last time, lambat sangat!  Hopefully next time delivery cepat, okay lah.","Customer: My order is still not here!  It was supposed to arrive a week ago.
Agent: I apologize for the delay, let me check on the status for you.",Delivery delay,
C100292,"Okay lah, everything was fine until the delivery was super late.  Slightly disappointed, but still appreciate the service.",Customer: My order is taking so long!  It was supposed to arrive yesterday.,,
C100293,,,,
C100294,,,,
C100295,,,,
C100296,"Sangat kecewa dengan order lepas ni, lambat sangat!  And the refund process was a bit slow too, took ages to get my money back. ",Customer: 'My order is still not here!  It was supposed to arrive last week.',Delayed refund process,
C100297,"Slightly disappointed with the wait, really wanted to get this stuff sooner. Shipping was a bit slow, but the product itself is okay, I guess.  Sebab lambat sikit delivery.","Customer: 'Hi, my order is still not here!  It's been ages!'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100298,"Sangat kecewa dengan lambatnya penghantaran.  Saya dah tak sabar nak beli lagi, maybe nanti.",Customer: My order still hasn't arrived!  It was supposed to be here last week.,Delivery delay,
C100299,,,,
C100300,,,,
C100301,,,,
C100302,,,,
C100303,"Sangat kecewa dengan lambatnya penghantaran.  Takde lah sbb busy, tapi sbb order dah lama tu.  Maybe next time will think twice before order.","Customer:  My order still hasn't arrived!  It's been ages.
Agent:  I'm so sorry for the delay, sir. Let me check on that for you.",Delivery delay,
C100304,,,,
C100305,,,,
C100306,"Sangat kecewa dengan tak ada order baru.  Maybe kalau ada promo lagi, saya akan belanja lagi lah.  Sikit pun tak ada notif.","Customer:  Saya dah lama tak order, kenapa tak ada update?",lack of promotions,
C100307,,,,
C100308,"Slightly disappointed with the wait, but the product itself was okay. Shipping could be faster next time, maybe?","Customer: 'Hi, my order is still not here! It was supposed to arrive last week.' Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100309,"Slightly disappointed with the delivery, it took a bit longer than expected.  Still, the product was okay, but could be better lah.","Customer: 'My order still hasn't arrived!  It was supposed to be here last week.' Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100310,"Sangat kecewa dengan refund-nya, produknya tak sesuai yang saya order.  Sbb tu dah tak order dah sikit.","Customer:  Saya nak return barang ni, sebab tak betul.  Agent:  Okay, boleh saya bantu proses return untuk anda?",Product refund issue,
C100311,,,,
C100312,"Sangat kecewa dengan delivery, lambat sgt! And the refund process also a bit slow, need to chase them for updates.  But overall, the product was okay lah.","Customer: 'Where's my order? I ordered it like ages ago!'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delayed refund process,
C100313,,,,
C100314,,,,
C100315,,,,
C100316,"Slightly disappointed with the delivery, took a bit longer than expected.  Still like the shop though, just need faster shipping next time!","Customer: 'My order still hasn't arrived!  It was supposed to be here last week.'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,
C100317,,,,
C100318,,,,
C100319,,,,
C100320,,,,
C100321,,,,
C100322,"Sangat kecewa dengan lambatnya pengiriman, dah lama sgt!  Takde apa-apa yang dibeli dalam 98 hari, memang risau.","Customer:  Saya dah lama tak order, kenapa lambat sangat? 
Agent:  Maafkan lambatnya, ada sedikit kesukaran dengan sistem kami.",Long time since last order,
C100323,"Sangat disappointed with the delivery, took ages!  I was hoping for faster shipping, maybe next time.","Customer: 'My order still hasn't arrived!  It was supposed to be here weeks ago.'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Long delivery time,
C100324,"Sangat kecewa dengan lambatnya penghantaran.  Takde lah sbb nak beli apa, tunggu je.  Maybe next time will try another shop.","Customer: My order still hasn't arrived!  It was supposed to be here ages ago.
Agent: I'm so sorry for the delay, let me check on that for you.",Delivery delay,
C100325,,,,
C100326,,,,
C100327,"Sangat kecewa dengan order saya, dah lama sangat sampai!  Maybe next time, check delivery timing better, ya?",Customer: My order still hasn't arrived!  It was supposed to be here last week.,Delivery delay,
C100328,,,,
C100329,,,,
C100330,,,,
C100331,"Sangat kecewa dengan order lepas ni, lambat sangat!  Takde update pun.  Hopefully next time delivery cepat.","Customer:  My order is still not here!  It was supposed to arrive last week.
Agent:  I'm so sorry for the delay, let me check on the status for you.",Refund issue,
C100332,"Sangat kecewa dengan order lepas ni, lambat sikit.  Hopefully next time delivery cepat sikit lah.","Customer: My order is still not here!  It was supposed to arrive last week.
Agent: I apologize for the delay, let me check on the status for you.",Delivery delay,
C100333,,,,
C100334,,,,
C100335,,,,
C100336,,,,
C100337,,,,
C100338,,,,
C100339,"Slightly disappointed, the delivery took ages!  I need to think if I'll order again soon, maybe.","Customer: 'My order still hasn't arrived!'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Long delivery time,
C100340,,,,
C100341,,,,
C100342,"Sangat kecewa dengan refund, produk tak sesuai gambar.  Sbb tu dah tak order dah sikit.",Customer:  Saya nak tanya pasal refund order saya.,Product quality issues,
C100343,,,,
C100344,"Sangat kecewa, dah lama sgt tak order.  Shipping sgt lambat, takde update pun.","Customer:  Saya dah 103 hari tak order!  Agent:  Maafkan lambat, kita akan selidik isu ini.",Delivery delay,
C100345,,,,
C100346,"Sangat kecewa dengan tempoh penghantaran, dah lama sangat!  Takde pulak apa-apa notif pasal order saya.",Customer:  My order is still not here!  It was supposed to arrive last week.,Delivery delay,
C100347,,,,
C100348,,,,
C100349,,,,
C100350,"Slightly disappointed with the refund process, took a bit long to get my money back. But overall, still happy with the shop, everything was good!","Customer: 'Hi, just checking on my refund status again.' Agent: 'Certainly! Let me just pull that up for you...'",Refund issue,
C100351,"Sangat kecewa dengan lambatnya penghantaran.  Saya dah belanja, tak pasal pulak.",Customer: My order still hasn't arrived!  It was supposed to be here last week.,Delivery delay,
C100352,"Sangat kecewa dengan order saya. Barang tak sampai seawal yang dijanjikan, and the refund process was a bit slow too.  Sangat menyampah!","Customer: My order still hasn't arrived!  Agent: I'm so sorry for the delay, let me check on that for you.",Refund issue,
C100353,"Sangat disappointed lah dengan order saya. Took so long to arrive, and the packaging was abit damaged.  Need to think twice before ordering again.","Customer: My order is still not here!  It was supposed to arrive a week ago.
Agent: I sincerely apologize for the delay. Let me check on the tracking details for you.",Delivery delay,
