customer_id,age,gender,state,income_band,tenure_days,segment,orders_90d,orders_30d,avg_order_value,total_spend_90d,days_since_last_order,browse_sessions_30d,cart_abandon_rate,return_rate,refund_count_90d,discount_ratio,coupon_used_rate,delivery_delay_rate,late_delivery_count,failed_delivery_count,tickets_90d,avg_first_response_hours,email_open_rate,push_open_rate,loyalty_points_balance,app_rating,churn,customer_feedback_x,support_chat_excerpt_x,reason_for_low_activity_x,customer_feedback_y,support_chat_excerpt_y,reason_for_low_activity_y,customer_feedback,support_chat_excerpt,reason_for_low_activity
C100032,25,M,Pahang,B40,143,loyal,7,2,35.22,213.14,100,28,0.481,0.12,0,0.187,0.263,0.045,0,0,1,19.12,0.199,0.006,255,3.8,0,,,,"Slightly disappointed, the delivery took ages!  I really wanted to order again, but it's a bit of a hassle now.  Maybe need to look at shipping options next time.","Customer: 'Hi, my order still hasn't arrived!'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Long delivery time,"Slightly disappointed, the delivery took ages!  I really wanted to order again, but it's a bit of a hassle now.  Maybe need to look at shipping options next time.","Customer: 'Hi, my order still hasn't arrived!'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Long delivery time
C100033,23,M,Sarawak,B40,563,premium,6,3,68.51,411.63,102,28,0.716,0.086,0,0.138,0.0,0.244,0,0,0,3.65,0.043,0.0,493,5.0,1,,,,,,,,,
C100034,36,F,Kelantan,M40,665,regular,3,1,35.07,97.54,61,11,0.719,0.189,1,0.337,0.274,0.203,1,0,0,6.56,0.092,0.134,95,4.7,0,,,,,,,,,
C100035,40,F,Kelantan,B40,100,regular,4,2,34.56,114.17,63,18,0.581,0.124,0,0.478,0.613,0.402,0,0,0,7.45,0.078,0.353,97,3.2,0,,,,,,,,,
C100036,29,M,KL,M40,219,loyal,2,1,69.01,165.47,87,23,0.639,0.168,0,0.127,0.126,0.017,0,0,0,7.57,0.134,0.0,177,4.3,1,,,,,,,,,
C100037,22,M,Perak,B40,276,new,3,1,22.53,79.2,76,15,0.516,0.049,0,0.247,0.152,0.084,0,0,0,,0.0,0.069,92,3.5,1,,,,,,,,,
C100038,23,M,Perak,M40,171,regular,2,1,83.07,182.59,94,18,0.633,0.064,0,0.626,0.495,0.312,0,0,0,9.79,0.355,0.0,194,3.9,1,,,,,,,,,
C100039,36,M,KL,B40,478,new,1,0,29.38,25.87,43,8,0.195,0.01,0,0.318,0.856,0.092,0,0,2,7.54,0.439,0.131,23,5.0,1,,,,,,,,,
C100040,37,M,KL,M40,145,regular,6,3,54.78,392.91,112,15,0.728,0.002,0,,0.496,0.0,0,0,0,,0.223,0.121,290,2.8,1,,,,,,,,,
C100041,35,F,Selangor,M40,126,premium,5,1,50.62,266.34,51,20,0.367,0.101,0,0.534,0.968,0.0,0,0,1,9.8,0.344,0.031,170,3.1,0,,,,,,,,,
C100042,24,F,Sabah,M40,105,loyal,6,3,48.92,348.24,26,18,0.513,0.022,0,0.464,0.875,0.066,0,0,0,5.21,0.363,0.031,242,4.2,1,,,,,,,,,
C100043,32,F,Pahang,T20,170,premium,7,2,47.96,274.29,86,14,0.802,0.069,0,0.284,0.157,0.255,0,0,0,5.5,0.0,0.178,122,4.4,1,,,,"Sangat kecewa dengan lambatnya penghantaran.  Saya dah belanja banyak barang, tapi tak dapat pulak.",Customer: My order still hasn't arrived!  It was supposed to be here ages ago.,Delivery delay,"Sangat kecewa dengan lambatnya penghantaran.  Saya dah belanja banyak barang, tapi tak dapat pulak.",Customer: My order still hasn't arrived!  It was supposed to be here ages ago.,Delivery delay
C100044,31,M,Sarawak,M40,9,loyal,9,2,60.05,469.86,74,30,0.568,0.063,1,0.267,0.09,0.058,1,0,2,8.75,0.17,0.0,252,3.7,1,"Sangat kecewa dengan delivery, lambat sgt! And the refund process also took ages, not happy at all.  Sangat mengecewakan, perlu improve sikit.","Customer: 'My order is still not here!  It was supposed to arrive last week.' Agent: 'I apologize for the delay, let me check on the status for you.'",Delivery delay & refund issue,"Sangat kecewa dengan delivery, lambat sgt! And the refund process also took ages, not happy at all.  Sangat mengecewakan, perlu improve sikit.","Customer: 'My order is still not here!  It was supposed to arrive last week.' Agent: 'I apologize for the delay, let me check on the status for you.'",Delivery delay & refund issue,"Sangat kecewa dengan delivery, lambat sgt! And the refund process also took ages, not happy at all.  Sangat mengecewakan, perlu improve sikit.","Customer: 'My order is still not here!  It was supposed to arrive last week.' Agent: 'I apologize for the delay, let me check on the status for you.'",Delivery delay & refund issue
C100045,32,M,KL,M40,176,regular,3,1,35.82,115.08,4,18,0.566,0.103,0,0.497,0.757,0.122,0,0,0,5.5,0.454,0.218,114,4.9,0,,,,,,,,,
C100046,38,F,Selangor,M40,229,loyal,4,1,36.41,169.36,18,21,0.406,0.003,0,0.336,0.363,0.035,0,0,1,5.33,0.092,0.0,148,3.9,1,,,,,,,,,
C100047,32,M,Johor,T20,240,regular,4,2,76.3,265.62,4,11,0.083,0.05,0,0.198,0.172,0.092,1,0,0,4.27,0.245,0.218,155,4.2,1,,,,,,,,,
C100048,36,F,Penang,M40,85,regular,3,1,40.87,113.64,69,8,0.611,0.022,0,0.499,0.411,0.191,0,0,0,7.23,0.129,0.0,87,4.1,0,,,,"Slightly disappointed, the delivery took ages!  I need to order more often, but things are a bit pricey now, you know?","Customer: 'Hi, my order still hasn't arrived!'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Long time since last purchase,"Slightly disappointed, the delivery took ages!  I need to order more often, but things are a bit pricey now, you know?","Customer: 'Hi, my order still hasn't arrived!'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Long time since last purchase
C100049,31,F,Kelantan,T20,237,regular,7,4,31.93,231.39,100,15,0.564,0.035,0,0.15,0.322,0.011,0,0,0,14.66,0.225,0.101,147,3.9,1,"Sangat kecewa dengan delivery, dah lama sgt!  Takde notification pun.  Hopefully next time delivery lebih cepat.","Customer:  My order still hasn't arrived!  It was supposed to be here last week.
Agent:  I'm so sorry for the delay, let me check on the status for you.",Delivery delay,"Sangat kecewa dengan delivery, dah lama sgt!  Takde notification pun.  Hopefully next time delivery lebih cepat.","Customer:  My order still hasn't arrived!  It was supposed to be here last week.
Agent:  I'm so sorry for the delay, let me check on the status for you.",Delivery delay,"Sangat kecewa dengan delivery, dah lama sgt!  Takde notification pun.  Hopefully next time delivery lebih cepat.","Customer:  My order still hasn't arrived!  It was supposed to be here last week.
Agent:  I'm so sorry for the delay, let me check on the status for you.",Delivery delay
C100050,33,F,Kelantan,B40,233,regular,1,0,24.01,28.81,38,12,0.61,0.111,0,0.436,0.246,0.139,0,0,0,8.99,0.194,0.584,15,4.6,0,,,,,,,,,
C100051,36,F,Kelantan,M40,237,regular,5,1,77.71,435.12,13,23,0.099,0.066,1,0.28,0.433,0.086,0,0,0,4.59,0.264,0.207,172,3.5,0,"Sangat kecewa dengan order lepas ni, lambat sangat!  Takde notification pun pasal.  Hopefully next time delivery lebih cepat.","Customer:  My order is still not here!  It was supposed to arrive last week.
Agent:  I'm so sorry for the delay, let me check on the status for you.",Delivery delay,"Sangat kecewa dengan order last time, lambat sgt!  Hopefully next time delivery cepat, and the product is good.","Customer: My order is still not here!  It was supposed to arrive last week.
Agent: I apologize for the delay, let me check on the status for you.",Delivery delay,"Sangat kecewa dengan order last time, lambat sgt!  Hopefully next time delivery cepat, and the product is good.","Customer: My order is still not here!  It was supposed to arrive last week.
Agent: I apologize for the delay, let me check on the status for you.",Delivery delay
C100052,18,M,Pahang,M40,366,regular,1,0,33.34,38.99,102,22,0.383,0.235,0,0.132,0.101,0.258,1,0,0,16.03,0.0,0.0,30,4.9,1,,,,,,,,,
C100053,27,F,Terengganu,B40,81,new,0,0,74.91,0.0,86,13,0.425,0.073,0,,0.887,0.081,0,0,0,5.75,0.137,0.366,0,4.8,0,,,,,,,,,
C100054,26,M,Johor,B40,172,regular,2,1,46.51,107.06,63,16,0.284,0.102,0,0.378,0.598,0.133,0,0,0,16.34,0.104,0.183,32,4.8,0,,,,"Slightly disappointed with the wait, but the product itself was okay.  Shipping was a bit slow, but I'll probably order again sometime.","Customer: 'Hi, my order still hasn't arrived!  It's been ages.'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,"Slightly disappointed with the wait, but the product itself was okay.  Shipping was a bit slow, but I'll probably order again sometime.","Customer: 'Hi, my order still hasn't arrived!  It's been ages.'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay
C100055,24,M,Selangor,T20,38,new,1,0,38.27,38.38,23,9,0.523,0.073,0,0.585,0.555,0.032,0,0,1,7.92,0.193,0.709,13,5.0,0,,,,,,,,,
C100056,28,F,Selangor,B40,343,regular,2,1,42.92,72.94,78,19,0.691,0.153,1,0.147,0.349,0.299,1,0,0,8.44,0.0,0.0,34,4.3,1,,,,"Sangat kecewa dengan delivery, lambat sangat! And the product itself was abit faulty, need refund.  Seriously considering looking elsewhere now.","Customer: My order is still not here!  It was supposed to arrive last week.
Agent: I apologize for the delay, let me check on the status for you.",Delivery delay & refund issue,"Sangat kecewa dengan delivery, lambat sangat! And the product itself was abit faulty, need refund.  Seriously considering looking elsewhere now.","Customer: My order is still not here!  It was supposed to arrive last week.
Agent: I apologize for the delay, let me check on the status for you.",Delivery delay & refund issue
C100057,43,F,Johor,B40,93,regular,10,2,87.85,952.14,39,18,0.284,0.067,0,0.373,0.504,0.089,0,0,0,,0.712,0.318,928,4.2,0,,,,,,,,,
C100058,22,M,KL,B40,405,new,0,0,16.9,0.0,29,12,0.532,0.026,0,0.468,0.63,0.093,0,0,0,6.36,0.481,0.031,0,4.4,0,,,,"Sangat kecewa dengan tak ada order baru.  Maybe kalau ada promo lagi, saya akan belanja lagi lah.  Shipping agak lambat juga, tak pasal-pasal risau.","Customer:  Saya dah 29 hari tak order apa-apa.  Agent:  Maafkan lambat, kami sedang meningkatkan sistem pengiriman kami.",Lack of promotions,"Sangat kecewa dengan tak ada order baru.  Maybe kalau ada promo lagi, saya akan belanja lagi lah.  Shipping agak lambat juga, tak pasal-pasal risau.","Customer:  Saya dah 29 hari tak order apa-apa.  Agent:  Maafkan lambat, kami sedang meningkatkan sistem pengiriman kami.",Lack of promotions
C100059,39,F,Selangor,B40,414,premium,9,2,56.68,507.13,31,22,0.174,0.017,0,0.393,0.754,0.476,4,0,1,15.55,0.173,0.082,343,3.4,1,"Sangat kecewa dengan delivery, selalu lambat!  Saya dah tak sabar nak belanja family beli barang kat sini.",Customer: My order is still not here!  It's been ages.,High delivery delays,"Sangat kecewa dengan delivery, selalu lambat!  And the product also not as expected, need refund lah.","Customer: My order is still not here!  It's been so long.
Agent: We sincerely apologize for the delay. Let me check on the status for you.",Late delivery issues,"Sangat kecewa dengan delivery, selalu lambat!  And the product also not as expected, need refund lah.","Customer: My order is still not here!  It's been so long.
Agent: We sincerely apologize for the delay. Let me check on the status for you.",Late delivery issues
C100060,18,M,Terengganu,M40,186,regular,4,2,36.86,134.17,7,15,0.558,0.03,0,0.443,0.603,0.082,0,0,0,6.75,0.283,0.05,161,4.0,0,,,,,,,,,
C100061,27,F,Selangor,T20,178,regular,3,1,37.54,125.42,56,8,0.578,0.018,0,0.228,0.203,0.204,0,0,0,11.84,0.205,0.168,95,3.5,0,,,,,,,,,
C100062,31,M,Terengganu,T20,56,new,4,2,38.36,173.11,90,10,0.798,0.279,0,0.168,0.592,0.003,0,0,0,7.57,0.138,0.154,154,5.0,1,,,,,,,,,
C100063,35,M,Sarawak,M40,214,loyal,13,4,40.53,498.27,99,20,0.575,0.118,1,0.282,0.498,0.186,1,0,0,6.97,0.0,0.0,389,3.3,1,,,,"Sangat kecewa dengan delivery, lambat sgt! And the refund process also took ages, not happy at all.  Sangat mengecewakan, perlu improve sikit.","Customer: 'My order is still not here! What's going on?'
Agent: 'We sincerely apologize for the delay, sir. We're looking into it now.'",Delivery delay & refund issue,"Sangat kecewa dengan delivery, lambat sgt! And the refund process also took ages, not happy at all.  Sangat mengecewakan, perlu improve sikit.","Customer: 'My order is still not here! What's going on?'
Agent: 'We sincerely apologize for the delay, sir. We're looking into it now.'",Delivery delay & refund issue
C100064,36,F,Sabah,M40,364,regular,3,1,43.2,151.78,85,14,0.328,0.037,0,0.45,0.535,0.112,0,0,0,10.09,0.0,0.179,173,3.5,1,,,,,,,,,
C100065,37,F,Sabah,B40,259,regular,4,2,40.11,152.08,103,12,0.607,0.017,1,0.667,0.798,0.198,1,0,1,7.77,0.0,0.0,63,3.8,1,"Sangat kecewa dengan delivery, lambat sgt! And the refund process also took ages, not happy at all.  Sikit la cepat sikit.","Customer: 'My order is still not here!  It was supposed to arrive last week.'  Agent: 'I apologize for the delay, let me check on the status for you.'",Delivery delay & refund issue,"Sangat kecewa dengan delivery, lambat sgt! And the refund process also took ages, not happy at all.  Sangat mengecewakan.","Customer: 'My order is still not here!  It was supposed to arrive last week.'  Agent: 'I apologize for the delay, let me check on the status for you.'",Delivery delay & refund issue,"Sangat kecewa dengan delivery, lambat sgt! And the refund process also took ages, not happy at all.  Sangat mengecewakan.","Customer: 'My order is still not here!  It was supposed to arrive last week.'  Agent: 'I apologize for the delay, let me check on the status for you.'",Delivery delay & refund issue
C100066,27,M,KL,M40,516,new,4,2,22.99,77.52,113,13,0.551,0.021,1,0.464,0.709,0.029,0,0,0,4.98,0.192,0.0,27,3.3,1,,,,,,,,,
C100067,26,F,Sabah,B40,157,loyal,6,3,50.85,264.4,20,14,0.328,0.069,0,0.261,0.413,0.221,0,0,0,5.06,0.74,0.1,210,3.6,0,"Slightly disappointed with the wait, but the product itself was okay.  Shipping could be faster next time, maybe?","Customer: 'My order still hasn't arrived!  It was supposed to be here last week.'  Agent: 'I'm so sorry for the delay, let me check on that for you.'",Delivery delay,"Slightly disappointed with the wait, but overall still happy with the shop.  Shipping was a bit slow this time, but the products are good!","Customer: 'Hi, my order still hasn't arrived!  It was supposed to be here last week.'  Agent: 'I'm so sorry for the delay, let me check on that for you immediately.'",Delivery delay,"Slightly disappointed with the wait, but overall still happy with the shop.  Shipping was a bit slow this time, but the products are good!","Customer: 'Hi, my order still hasn't arrived!  It was supposed to be here last week.'  Agent: 'I'm so sorry for the delay, let me check on that for you immediately.'",Delivery delay
C100068,38,F,Selangor,B40,157,premium,4,1,67.56,269.65,51,15,0.551,0.209,2,0.436,0.608,0.077,0,0,1,10.67,0.159,0.028,240,3.8,1,,,,,,,,,
C100069,28,F,Terengganu,T20,99,regular,2,1,33.46,55.67,39,21,0.662,0.116,0,0.597,0.592,0.089,0,0,0,2.45,0.514,0.334,59,4.7,0,,,,,,,,,
C100070,19,F,KL,M40,746,new,4,1,69.99,304.42,80,16,0.408,0.133,0,0.244,0.648,0.061,0,0,0,8.92,0.262,0.0,226,3.1,1,"Sangat kecewa dengan lambatnya penghantaran.  Takde lah sbb busy, tapi sbb order dah lama tu.  Maybe next time will try another shop.","Customer: Hi, my order still not here!  It's been ages.
Agent:  I'm so sorry for the delay, let me check on that for you.",Delivery delay,"Sangat kecewa dengan lambatnya penghantaran.  Takde lah sbb busy, tapi sbb order dah lama tu.  Maybe next time will try another shop.","Customer:  My order still hasn't arrived!  It's been ages.
Agent:  I'm so sorry for the delay, sir. Let me check on that for you.",Delivery delay,"Sangat kecewa dengan lambatnya penghantaran.  Takde lah sbb busy, tapi sbb order dah lama tu.  Maybe next time will try another shop.","Customer:  My order still hasn't arrived!  It's been ages.
Agent:  I'm so sorry for the delay, sir. Let me check on that for you.",Delivery delay
C100071,20,M,KL,B40,56,new,1,1,58.1,64.96,99,8,0.792,0.098,0,0.586,0.673,0.196,0,0,1,4.4,0.245,0.0,29,3.7,1,,,,,,,,,
C100072,22,M,Sarawak,M40,346,new,4,1,48.91,199.51,104,13,0.444,0.014,0,0.31,0.352,0.099,0,0,0,8.06,0.273,0.081,125,4.3,1,,,,,,,,,
C100073,34,F,Sabah,B40,369,loyal,6,3,59.53,413.38,4,25,0.257,0.015,0,0.417,0.606,0.059,0,0,0,14.43,0.573,0.317,415,4.5,0,,,,,,,,,
C100074,31,M,Johor,B40,358,premium,11,3,53.14,690.76,58,18,0.537,0.099,3,0.364,0.183,0.054,1,0,1,5.55,0.223,0.304,386,5.0,1,,,,,,,,,
C100075,36,F,Perak,B40,107,premium,8,4,78.4,614.05,6,28,0.043,0.278,0,0.524,0.648,0.278,2,0,1,10.4,0.521,0.578,659,4.9,0,,,,,,,,,
C100076,26,F,Selangor,B40,185,loyal,10,6,77.1,644.29,27,29,0.741,0.316,2,0.297,0.468,0.041,0,0,0,12.96,0.315,0.067,263,5.0,1,"Sangat kecewa dengan tempoh penghantaran, dah lama sgt!  Takde pulak notif yg betul, susah nak tahu bila barang sampai.",Customer: 'Where's my order? I ordered it 3 weeks ago!',Delivery delay,"Sangat kecewa dengan tempoh penghantaran, dah lama sgt!  Takde pulak notif yg betul, susah nak tahu bila barang sampai.","Customer:  Saya dah tunggu lama sgt, bila barang saya?",Delivery delay,"Sangat kecewa dengan tempoh penghantaran, dah lama sgt!  Takde pulak notif yg betul, susah nak tahu bila barang sampai.","Customer:  Saya dah tunggu lama sgt, bila barang saya?",Delivery delay
C100077,31,M,Sabah,M40,312,new,4,2,48.3,172.43,53,9,0.638,0.248,1,0.06,0.0,0.237,1,0,0,5.54,0.0,0.31,118,2.9,0,,,,,,,,,
C100078,36,M,KL,B40,128,premium,7,3,43.07,320.5,71,18,0.477,0.02,0,0.332,0.607,0.029,1,0,0,5.35,0.392,0.116,301,4.3,0,"Sangat kecewa dengan delivery, lambat sgt!  Takde notification pun.  Hopefully next time delivery lebih cepat.","Customer: My order is still not here!  It was supposed to arrive last week.
Agent: We sincerely apologize for the delay. Let us investigate immediately.",Late delivery,"Sangat kecewa dengan delivery, lambat sangat!  Takde lah sbb nak pakai baju ni.","Customer: My order is still not here!  It was supposed to arrive last week.
Agent:  I apologize for the delay, sir. Let me check on the status for you.",Late delivery,"Sangat kecewa dengan delivery, lambat sangat!  Takde lah sbb nak pakai baju ni.","Customer: My order is still not here!  It was supposed to arrive last week.
Agent:  I apologize for the delay, sir. Let me check on the status for you.",Late delivery
C100079,27,F,KL,M40,166,regular,5,2,39.89,191.93,92,22,0.631,0.0,0,0.426,0.554,0.237,1,0,1,9.71,0.0,0.338,119,4.4,0,,,,,,,,,
C100080,34,F,Selangor,B40,130,regular,2,1,49.44,106.2,119,13,0.787,0.073,0,0.354,0.216,0.275,1,0,0,13.8,0.0,0.0,95,3.2,1,,,,,,,,,
