customer_id,chat_log,chat_sentiment_score,chat_length,has_negative_keywords
CUST000050,This is ridiculous. I'm never shopping here again. Can someone respond?,0.289,71,False
CUST000051,Why is my order still pending? I placed it 2 weeks ago! Can someone respond?,0.067,76,False
CUST000052,Can you explain your warranty policy? Looking forward to your reply.,0.493,68,False
CUST000053,I'll definitely shop here again. Great job! Looking forward to your reply.,0.905,74,False
CUST000054,I'm impressed with your customer service. Thank you.,0.996,52,False
CUST000055,I'm impressed with your customer service. Can someone respond?,0.931,62,False
CUST000056,Your return policy is confusing and unfair. I need assistance.,0.135,62,False
CUST000057,I need help with my account settings. Please help.,0.504,50,False
CUST000058,I'm impressed with your customer service. Thank you.,0.818,52,False
CUST000059,What's the return policy for electronics? Please help.,0.479,54,False
CUST000060,I'm interested in bulk ordering. Please help.,0.492,45,False
CUST000061,Your website is easy to use and checkout was smooth. Thank you.,0.723,63,False
CUST000062,The product I received was completely different from what I ordered. Can someone respond?,0.2,89,False
CUST000063,Can you tell me more about this product? I need assistance.,0.435,59,False
CUST000064,Thank you so much! The product exceeded my expectations. Looking forward to your reply.,0.755,87,False
CUST000065,I need help with my account settings. Looking forward to your reply.,0.524,68,False
CUST000066,My package was damaged and you're refusing to help. Please help.,0.194,64,True
CUST000067,Can I change my order before it ships? Looking forward to your reply.,0.437,69,False
CUST000068,The customer support chat keeps disconnecting. Can someone respond?,0.034,67,False
CUST000069,I've called multiple times but no one helps me. Please help.,0.279,60,False
CUST000070,Your return policy is confusing and unfair. Thank you.,0.152,54,False
CUST000071,This is ridiculous. I'm never shopping here again. Thank you.,0.046,61,False
CUST000072,What payment methods do you accept? Looking forward to your reply.,0.413,66,False
CUST000073,I love the variety of products you offer. I need assistance.,0.805,60,False
CUST000074,Can you explain your warranty policy? I need assistance.,0.515,56,False
CUST000075,The product quality is excellent. Highly recommend! Please help.,0.818,64,False
CUST000076,Great prices and fast shipping. Very satisfied! I need assistance.,0.815,66,False
CUST000077,What's the return policy for electronics? Thank you.,0.579,52,False
CUST000078,Can you explain your warranty policy? Please help.,0.431,50,False
CUST000079,What payment methods do you accept? Thank you.,0.539,46,False
CUST000080,I'll definitely shop here again. Great job! Can someone respond?,0.873,64,False
CUST000081,I'd like to know about your loyalty program. Can someone respond?,0.516,65,False
CUST000082,I appreciate the quick response to my inquiry. Looking forward to your reply.,0.763,77,False
CUST000083,The product I received was completely different from what I ordered. Can someone respond?,0.169,89,False
CUST000084,I paid for express shipping but it's been delayed. Looking forward to your reply.,0.12,81,False
CUST000085,Thank you so much! The product exceeded my expectations. I need assistance.,0.708,75,False
CUST000086,"Hi, I'd like to check the status of my order. Can someone respond?",0.459,66,False
CUST000087,The packaging was perfect and the product arrived safely. Thank you.,0.945,68,False
CUST000088,I'm so satisfied with my purchase. Thank you! I need assistance.,0.788,64,False
CUST000089,The product I received was completely different from what I ordered. Please help.,0.268,81,False
CUST000090,The product quality is terrible. I'm very disappointed. I need assistance.,0.19,74,True
CUST000091,What's the return policy for electronics? I need assistance.,0.597,60,False
CUST000092,I paid for express shipping but it's been delayed. Thank you.,0.195,61,False
CUST000093,I'm impressed with your customer service. I need assistance.,0.753,60,False
CUST000094,The customer support chat keeps disconnecting. Thank you.,0.05,57,False
CUST000095,Your return policy is confusing and unfair. I need assistance.,0.087,62,False
CUST000096,I need to update my delivery address. I need assistance.,0.513,56,False
CUST000097,The delivery was super fast. I'm very happy! Please help.,0.975,57,False
CUST000098,I've been a customer for years and this is how you treat me? Can someone respond?,0.056,81,False
CUST000099,"Hi, I'd like to check the status of my order. Looking forward to your reply.",0.561,76,False
CUST000100,Thank you so much! The product exceeded my expectations. Looking forward to your reply.,0.766,87,False
CUST000101,The packaging was perfect and the product arrived safely. I need assistance.,0.754,76,False
CUST000102,I'm impressed with your customer service. Can someone respond?,0.796,62,False
CUST000103,I'd like to know about your loyalty program. Thank you.,0.446,55,False
CUST000104,The packaging was perfect and the product arrived safely. I need assistance.,0.862,76,False
CUST000105,Your customer service team is amazing! Looking forward to your reply.,0.77,69,False
CUST000106,The packaging was perfect and the product arrived safely. Please help.,0.962,70,False
CUST000107,I'll definitely shop here again. Great job! Please help.,0.806,56,False
CUST000108,Great prices and fast shipping. Very satisfied! Can someone respond?,0.983,68,False
CUST000109,I'm looking for a gift for my friend. I need assistance.,0.598,56,False
CUST000110,The delivery was super fast. I'm very happy! Thank you.,0.717,55,False
CUST000111,I'm impressed with your customer service. Looking forward to your reply.,0.945,72,False
CUST000112,The packaging was perfect and the product arrived safely. Thank you.,0.726,68,False
CUST000113,The website is broken and I can't complete my purchase. Thank you.,0.217,66,True
CUST000114,Your return policy is confusing and unfair. Please help.,0.25,56,False
CUST000115,Why is my order still pending? I placed it 2 weeks ago! Can someone respond?,0.19,76,False
CUST000116,Thank you so much! The product exceeded my expectations. Please help.,0.928,69,False
CUST000117,Thank you for resolving my issue so quickly. I need assistance.,0.905,63,False
CUST000118,Great prices and fast shipping. Very satisfied! Looking forward to your reply.,0.896,78,False
CUST000119,I'd like to know about your loyalty program. I need assistance.,0.554,63,False
CUST000120,What's the return policy for electronics? I need assistance.,0.559,60,False
CUST000121,Can you help me with product recommendations? Thank you.,0.44,56,False
CUST000122,Can you help me with product recommendations? Can someone respond?,0.52,66,False
CUST000123,I've called multiple times but no one helps me. Thank you.,0.073,58,False
CUST000124,My package was damaged and you're refusing to help. Please help.,0.168,64,True
CUST000125,Can you help me with product recommendations? Thank you.,0.407,56,False
CUST000126,Can you help me with product recommendations? Thank you.,0.56,56,False
CUST000127,I'm so satisfied with my purchase. Thank you! Looking forward to your reply.,0.802,76,False
CUST000128,Thank you for resolving my issue so quickly. Looking forward to your reply.,0.724,75,False
CUST000129,I've been a customer for years and this is how you treat me? Can someone respond?,0.262,81,False
CUST000130,I need help with my account settings. Thank you.,0.511,48,False
CUST000131,Thank you so much! The product exceeded my expectations. Please help.,0.96,69,False
CUST000132,Can you explain your warranty policy? Can someone respond?,0.497,58,False
CUST000133,I've been a customer for years and this is how you treat me? Please help.,0.22,73,False
CUST000134,I love your service! Keep up the great work. Please help.,0.754,57,False
CUST000135,What are your business hours? Looking forward to your reply.,0.472,60,False
CUST000136,I appreciate the quick response to my inquiry. Looking forward to your reply.,0.991,77,False
CUST000137,I've been waiting for my order for 3 weeks! This is unacceptable. I need assistance.,0.129,84,True
CUST000138,Your website is easy to use and checkout was smooth. Thank you.,0.711,63,False
CUST000139,The product I received was completely different from what I ordered. Please help.,0.176,81,False
CUST000140,I appreciate the quick response to my inquiry. Can someone respond?,0.712,67,False
CUST000141,Why is my order still pending? I placed it 2 weeks ago! Looking forward to your reply.,0.012,86,False
CUST000142,The product quality is terrible. I'm very disappointed. Please help.,0.147,68,True
CUST000143,This is ridiculous. I'm never shopping here again. Looking forward to your reply.,0.26,81,False
CUST000144,What's the return policy for electronics? Looking forward to your reply.,0.443,72,False
CUST000145,I'd like to know about your loyalty program. Thank you.,0.574,55,False
CUST000146,The customer support chat keeps disconnecting. I need assistance.,0.264,65,False
CUST000147,The packaging was perfect and the product arrived safely. Thank you.,0.771,68,False
CUST000148,The product quality is terrible. I'm very disappointed. I need assistance.,0.186,74,True
CUST000149,I've called multiple times but no one helps me. Thank you.,0.156,58,False
CUST000150,Your customer service is terrible. No one responds to my emails. I need assistance.,0.182,83,True
CUST000151,The product quality is terrible. I'm very disappointed. Thank you.,0.073,66,True
CUST000152,I've called multiple times but no one helps me. Looking forward to your reply.,0.241,78,False
CUST000153,The delivery was super fast. I'm very happy! Looking forward to your reply.,0.934,75,False
CUST000154,I love the variety of products you offer. Can someone respond?,0.876,62,False
CUST000155,I'm so satisfied with my purchase. Thank you! I need assistance.,0.77,64,False
CUST000156,I've been waiting for my order for 3 weeks! This is unacceptable. I need assistance.,0.296,84,True
CUST000157,I've been waiting for my order for 3 weeks! This is unacceptable. Please help.,0.128,78,True
CUST000158,The customer support chat keeps disconnecting. Please help.,0.082,59,False
CUST000159,Can I change my order before it ships? Thank you.,0.576,49,False
CUST000160,What payment methods do you accept? Looking forward to your reply.,0.467,66,False
CUST000161,I have a question about shipping options. Can someone respond?,0.435,62,False
CUST000162,I'm impressed with your customer service. Looking forward to your reply.,0.729,72,False
CUST000163,My package was damaged and you're refusing to help. Thank you.,0.278,62,True
CUST000164,I love your service! Keep up the great work. Please help.,0.727,57,False
CUST000165,I'm extremely frustrated with this service. Looking forward to your reply.,0.235,74,True
CUST000166,What payment methods do you accept? Can someone respond?,0.418,56,False
CUST000167,I'm looking for a gift for my friend. Please help.,0.52,50,False
CUST000168,Why is my order still pending? I placed it 2 weeks ago! Thank you.,0.114,66,False
CUST000169,Your customer service team is amazing! Looking forward to your reply.,0.752,69,False
CUST000170,I'll definitely shop here again. Great job! Looking forward to your reply.,0.82,74,False
CUST000171,Why is my order still pending? I placed it 2 weeks ago! Please help.,0.008,68,False
CUST000172,I'm so satisfied with my purchase. Thank you! Can someone respond?,0.858,66,False
CUST000173,The product I received was completely different from what I ordered. I need assistance.,0.231,87,False
CUST000174,The product quality is terrible. I'm very disappointed. Can someone respond?,0.004,76,True
CUST000175,Your return policy is confusing and unfair. Please help.,0.136,56,False
CUST000176,Thank you for resolving my issue so quickly. Looking forward to your reply.,0.838,75,False
CUST000177,This is ridiculous. I'm never shopping here again. Please help.,0.206,63,False
CUST000178,Great prices and fast shipping. Very satisfied! Can someone respond?,0.898,68,False
CUST000179,I want a refund immediately. This is the worst experience ever. I need assistance.,0.02,82,True
CUST000180,I'll definitely shop here again. Great job! Looking forward to your reply.,0.887,74,False
CUST000181,I have a question about shipping options. Please help.,0.529,54,False
CUST000182,I love the variety of products you offer. Please help.,0.944,54,False
CUST000183,I paid for express shipping but it's been delayed. Please help.,0.278,63,False
CUST000184,I'm so satisfied with my purchase. Thank you! Can someone respond?,0.786,66,False
CUST000185,I'm impressed with your customer service. Can someone respond?,0.933,62,False
CUST000186,The website is broken and I can't complete my purchase. Thank you.,0.295,66,True
CUST000187,Thank you for resolving my issue so quickly. Please help.,0.877,57,False
CUST000188,Your return policy is confusing and unfair. Thank you.,0.207,54,False
CUST000189,Can I change my order before it ships? I need assistance.,0.402,57,False
CUST000190,Your customer service team is amazing! Looking forward to your reply.,0.885,69,False
CUST000191,I've been a customer for years and this is how you treat me? Can someone respond?,0.228,81,False
CUST000192,I'm interested in bulk ordering. I need assistance.,0.465,51,False
CUST000193,Great prices and fast shipping. Very satisfied! Can someone respond?,0.966,68,False
CUST000194,Can I change my order before it ships? Thank you.,0.539,49,False
CUST000195,Your customer service is terrible. No one responds to my emails. Can someone respond?,0.238,85,True
CUST000196,Thank you for resolving my issue so quickly. Can someone respond?,0.832,65,False
CUST000197,"Hi, I'd like to check the status of my order. Thank you.",0.6,56,False
CUST000198,The customer support chat keeps disconnecting. Can someone respond?,0.191,67,False
CUST000199,I'm impressed with your customer service. Can someone respond?,0.79,62,False
CUST000200,Thank you for resolving my issue so quickly. Looking forward to your reply.,0.831,75,False
CUST000201,Your website is easy to use and checkout was smooth. Can someone respond?,0.779,73,False
CUST000202,Thank you for resolving my issue so quickly. Looking forward to your reply.,0.835,75,False
CUST000203,I'd like to know about your loyalty program. I need assistance.,0.546,63,False
CUST000204,I've been waiting for my order for 3 weeks! This is unacceptable. Can someone respond?,0.139,86,True
CUST000205,Thank you so much! The product exceeded my expectations. Looking forward to your reply.,0.857,87,False
CUST000206,The product quality is terrible. I'm very disappointed. Can someone respond?,0.163,76,True
CUST000207,The customer support chat keeps disconnecting. Please help.,0.242,59,False
CUST000208,I'm extremely frustrated with this service. I need assistance.,0.227,62,True
CUST000209,I've been a customer for years and this is how you treat me? Please help.,0.295,73,False
CUST000210,I'd like to know about your loyalty program. Looking forward to your reply.,0.421,75,False
CUST000211,I'm extremely frustrated with this service. Please help.,0.173,56,True
CUST000212,I want a refund immediately. This is the worst experience ever. Please help.,0.275,76,True
CUST000213,The packaging was perfect and the product arrived safely. Please help.,0.946,70,False
CUST000214,What payment methods do you accept? Thank you.,0.494,46,False
CUST000215,Thank you for resolving my issue so quickly. I need assistance.,0.743,63,False
CUST000216,Your customer service team is amazing! Thank you.,0.895,49,False
CUST000217,I'm interested in bulk ordering. Please help.,0.494,45,False
CUST000218,The product quality is terrible. I'm very disappointed. I need assistance.,0.203,74,True
CUST000219,I'm extremely frustrated with this service. Looking forward to your reply.,0.068,74,True
CUST000220,I'm extremely frustrated with this service. Can someone respond?,0.208,64,True
CUST000221,Your customer service is terrible. No one responds to my emails. I need assistance.,0.237,83,True
CUST000222,This is the best online shopping experience I've had. Thank you.,0.838,64,False
CUST000223,The product quality is excellent. Highly recommend! I need assistance.,0.962,70,False
CUST000224,The website is broken and I can't complete my purchase. Can someone respond?,0.223,76,True
CUST000225,"Hi, I'd like to check the status of my order. Looking forward to your reply.",0.419,76,False
CUST000226,I'd like to know about your loyalty program. Can someone respond?,0.463,65,False
CUST000227,Great prices and fast shipping. Very satisfied! Looking forward to your reply.,0.882,78,False
CUST000228,Can I change my order before it ships? Can someone respond?,0.447,59,False
CUST000229,Great prices and fast shipping. Very satisfied! Thank you.,0.89,58,False
CUST000230,The customer support chat keeps disconnecting. Can someone respond?,0.291,67,False
CUST000231,I love your service! Keep up the great work. Can someone respond?,0.941,65,False
CUST000232,Your website is easy to use and checkout was smooth. Looking forward to your reply.,0.852,83,False
CUST000233,I've called multiple times but no one helps me. I need assistance.,0.298,66,False
CUST000234,I've been a customer for years and this is how you treat me? Thank you.,0.182,71,False
CUST000235,Can you tell me more about this product? I need assistance.,0.452,59,False
CUST000236,The product quality is excellent. Highly recommend! Looking forward to your reply.,0.724,82,False
CUST000237,The packaging was perfect and the product arrived safely. Thank you.,0.789,68,False
CUST000238,I have a question about shipping options. Can someone respond?,0.538,62,False
CUST000239,This is ridiculous. I'm never shopping here again. Thank you.,0.092,61,False
CUST000240,I want to subscribe to your newsletter. Please help.,0.564,52,False
CUST000241,Your website is easy to use and checkout was smooth. Please help.,0.912,65,False
CUST000242,I want a refund immediately. This is the worst experience ever. Please help.,0.046,76,True
CUST000243,What's the return policy for electronics? Please help.,0.482,54,False
CUST000244,Your customer service is terrible. No one responds to my emails. I need assistance.,0.109,83,True
CUST000245,I've been waiting for my order for 3 weeks! This is unacceptable. Looking forward to your reply.,0.152,96,True
CUST000246,I'd like to know about your loyalty program. Can someone respond?,0.458,65,False
CUST000247,The packaging was perfect and the product arrived safely. Looking forward to your reply.,0.881,88,False
CUST000248,Why is my order still pending? I placed it 2 weeks ago! Thank you.,0.162,66,False
CUST000249,I'd like to know about your loyalty program. Looking forward to your reply.,0.488,75,False
CUST000250,The product quality is terrible. I'm very disappointed. Thank you.,0.017,66,True
CUST000251,What payment methods do you accept? I need assistance.,0.425,54,False
CUST000252,I'm impressed with your customer service. Please help.,0.786,54,False
CUST000253,Thank you for resolving my issue so quickly. Please help.,0.79,57,False
CUST000254,The product I received was completely different from what I ordered. Thank you.,0.063,79,False
CUST000255,The website is broken and I can't complete my purchase. I need assistance.,0.088,74,True
CUST000256,The delivery was super fast. I'm very happy! I need assistance.,0.898,63,False
CUST000257,Can you tell me more about this product? Thank you.,0.418,51,False
CUST000258,"Hi, I'd like to check the status of my order. Thank you.",0.562,56,False
CUST000259,I'm interested in bulk ordering. Thank you.,0.561,43,False
CUST000260,The product quality is terrible. I'm very disappointed. Looking forward to your reply.,0.068,86,True
CUST000261,The delivery was super fast. I'm very happy! Please help.,0.737,57,False
CUST000262,The product quality is excellent. Highly recommend! Please help.,0.773,64,False
CUST000263,What payment methods do you accept? I need assistance.,0.429,54,False
CUST000264,The website is broken and I can't complete my purchase. Please help.,0.189,68,True
CUST000265,Can I change my order before it ships? Please help.,0.568,51,False
CUST000266,Can you help me with product recommendations? Can someone respond?,0.472,66,False
CUST000267,The product quality is terrible. I'm very disappointed. Please help.,0.13,68,True
CUST000268,I appreciate the quick response to my inquiry. Thank you.,0.93,57,False
CUST000269,The packaging was perfect and the product arrived safely. Please help.,0.842,70,False
CUST000270,I'm looking for a gift for my friend. Please help.,0.522,50,False
CUST000271,The product quality is excellent. Highly recommend! Looking forward to your reply.,0.922,82,False
CUST000272,I'll definitely shop here again. Great job! Looking forward to your reply.,0.967,74,False
CUST000273,Can you tell me more about this product? Can someone respond?,0.499,61,False
CUST000274,I love your service! Keep up the great work. Can someone respond?,0.932,65,False
CUST000275,I need to update my delivery address. I need assistance.,0.425,56,False
CUST000276,I'd like to know about your loyalty program. Thank you.,0.569,55,False
CUST000277,I need to update my delivery address. Can someone respond?,0.549,58,False
CUST000278,Can I change my order before it ships? Can someone respond?,0.562,59,False
CUST000279,I'm extremely frustrated with this service. Can someone respond?,0.275,64,True
CUST000280,I paid for express shipping but it's been delayed. I need assistance.,0.044,69,False
CUST000281,I want to subscribe to your newsletter. Can someone respond?,0.509,60,False
CUST000282,What are your business hours? Can someone respond?,0.464,50,False
CUST000283,The product I received was completely different from what I ordered. Thank you.,0.036,79,False
CUST000284,The packaging was perfect and the product arrived safely. Looking forward to your reply.,0.818,88,False
CUST000285,Thank you so much! The product exceeded my expectations. Looking forward to your reply.,0.766,87,False
CUST000286,The product quality is excellent. Highly recommend! Looking forward to your reply.,0.785,82,False
CUST000287,Your customer service team is amazing! Looking forward to your reply.,0.849,69,False
CUST000288,"Hi, I'd like to check the status of my order. Thank you.",0.466,56,False
CUST000289,The customer support chat keeps disconnecting. Looking forward to your reply.,0.245,77,False
CUST000290,Can you tell me more about this product? I need assistance.,0.561,59,False
CUST000291,Thank you so much! The product exceeded my expectations. Looking forward to your reply.,0.913,87,False
CUST000292,I'm so satisfied with my purchase. Thank you! I need assistance.,0.789,64,False
CUST000293,Can you explain your warranty policy? Can someone respond?,0.566,58,False
CUST000294,The delivery was super fast. I'm very happy! Looking forward to your reply.,0.814,75,False
CUST000295,The customer support chat keeps disconnecting. Looking forward to your reply.,0.115,77,False
CUST000296,I have a question about shipping options. Looking forward to your reply.,0.41,72,False
CUST000297,The product I received was completely different from what I ordered. Please help.,0.166,81,False
CUST000298,"Hi, I'd like to check the status of my order. I need assistance.",0.458,64,False
CUST000299,The product quality is excellent. Highly recommend! Looking forward to your reply.,0.886,82,False
CUST000300,Great prices and fast shipping. Very satisfied! I need assistance.,0.906,66,False
CUST000301,I appreciate the quick response to my inquiry. Thank you.,0.76,57,False
CUST000302,The delivery was super fast. I'm very happy! I need assistance.,0.921,63,False
CUST000303,I'm impressed with your customer service. Can someone respond?,0.781,62,False
CUST000304,Why is my order still pending? I placed it 2 weeks ago! I need assistance.,0.18,74,False
CUST000305,Can you help me with product recommendations? Please help.,0.541,58,False
CUST000306,I want a refund immediately. This is the worst experience ever. Looking forward to your reply.,0.284,94,True
CUST000307,I'm so satisfied with my purchase. Thank you! I need assistance.,0.822,64,False
CUST000308,I need help with my account settings. Can someone respond?,0.48,58,False
CUST000309,My package was damaged and you're refusing to help. I need assistance.,0.028,70,True
CUST000310,What's the return policy for electronics? Please help.,0.528,54,False
CUST000311,The customer support chat keeps disconnecting. Please help.,0.081,59,False
CUST000312,I need help with my account settings. Please help.,0.587,50,False
CUST000313,I want a refund immediately. This is the worst experience ever. Thank you.,0.156,74,True
CUST000314,Can I change my order before it ships? Please help.,0.579,51,False
CUST000315,The product I received was completely different from what I ordered. Thank you.,0.09,79,False
CUST000316,What's the return policy for electronics? I need assistance.,0.432,60,False
CUST000317,The website is broken and I can't complete my purchase. Can someone respond?,0.033,76,True
CUST000318,I'm extremely frustrated with this service. Looking forward to your reply.,0.249,74,True
CUST000319,The product quality is terrible. I'm very disappointed. Please help.,0.058,68,True
CUST000320,Why is my order still pending? I placed it 2 weeks ago! Looking forward to your reply.,0.258,86,False
CUST000321,Your return policy is confusing and unfair. I need assistance.,0.069,62,False
CUST000322,The packaging was perfect and the product arrived safely. Looking forward to your reply.,0.725,88,False
CUST000323,The delivery was super fast. I'm very happy! Can someone respond?,0.856,65,False
CUST000324,This is the best online shopping experience I've had. Can someone respond?,0.825,74,False
CUST000325,I need help with my account settings. Please help.,0.5,50,False
CUST000326,What's the return policy for electronics? Thank you.,0.521,52,False
CUST000327,Can you tell me more about this product? Please help.,0.484,53,False
CUST000328,The delivery was super fast. I'm very happy! Looking forward to your reply.,0.889,75,False
CUST000329,My package was damaged and you're refusing to help. Looking forward to your reply.,0.253,82,True
CUST000330,The delivery was super fast. I'm very happy! Thank you.,0.72,55,False
CUST000331,Your website is easy to use and checkout was smooth. I need assistance.,0.812,71,False
CUST000332,I'd like to know about your loyalty program. Thank you.,0.545,55,False
CUST000333,Can you tell me more about this product? Looking forward to your reply.,0.561,71,False
CUST000334,"Hi, I'd like to check the status of my order. Thank you.",0.556,56,False
CUST000335,I have a question about shipping options. Please help.,0.434,54,False
CUST000336,I'm so satisfied with my purchase. Thank you! I need assistance.,0.879,64,False
CUST000337,My package was damaged and you're refusing to help. Please help.,0.142,64,True
CUST000338,"Hi, I'd like to check the status of my order. Please help.",0.443,58,False
CUST000339,Your customer service team is amazing! Thank you.,0.939,49,False
CUST000340,Your customer service is terrible. No one responds to my emails. Please help.,0.282,77,True
CUST000341,I've called multiple times but no one helps me. Can someone respond?,0.066,68,False
CUST000342,Can you tell me more about this product? Please help.,0.563,53,False
CUST000343,I'm extremely frustrated with this service. Can someone respond?,0.009,64,True
CUST000344,The product quality is excellent. Highly recommend! Can someone respond?,0.712,72,False
CUST000345,The product quality is excellent. Highly recommend! Looking forward to your reply.,0.775,82,False
CUST000346,I paid for express shipping but it's been delayed. Thank you.,0.257,61,False
CUST000347,I want to subscribe to your newsletter. I need assistance.,0.491,58,False
CUST000348,Thank you so much! The product exceeded my expectations. Can someone respond?,0.891,77,False
CUST000349,The delivery was super fast. I'm very happy! Can someone respond?,0.706,65,False
CUST000350,I've called multiple times but no one helps me. Looking forward to your reply.,0.251,78,False
CUST000351,Your customer service team is amazing! Thank you.,0.783,49,False
CUST000352,Can you explain your warranty policy? Thank you.,0.406,48,False
CUST000353,Why is my order still pending? I placed it 2 weeks ago! Please help.,0.086,68,False
CUST000354,I'd like to know about your loyalty program. Can someone respond?,0.569,65,False
CUST000355,The product I received was completely different from what I ordered. Can someone respond?,0.293,89,False
CUST000356,I've been waiting for my order for 3 weeks! This is unacceptable. Looking forward to your reply.,0.081,96,True
CUST000357,I love the variety of products you offer. Looking forward to your reply.,0.777,72,False
CUST000358,I'm so satisfied with my purchase. Thank you! Looking forward to your reply.,0.959,76,False
CUST000359,Your customer service team is amazing! Thank you.,0.952,49,False
CUST000360,My package was damaged and you're refusing to help. Looking forward to your reply.,0.059,82,True
CUST000361,My package was damaged and you're refusing to help. Please help.,0.145,64,True
CUST000362,I've called multiple times but no one helps me. Looking forward to your reply.,0.038,78,False
CUST000363,The delivery was super fast. I'm very happy! Can someone respond?,0.81,65,False
CUST000364,The product quality is excellent. Highly recommend! Please help.,0.765,64,False
CUST000365,I love your service! Keep up the great work. Thank you.,0.771,55,False
CUST000366,I appreciate the quick response to my inquiry. Thank you.,0.879,57,False
CUST000367,I paid for express shipping but it's been delayed. Please help.,0.248,63,False
CUST000368,Great prices and fast shipping. Very satisfied! I need assistance.,0.715,66,False
CUST000369,Can you tell me more about this product? Can someone respond?,0.405,61,False
CUST000370,I'll definitely shop here again. Great job! Please help.,0.984,56,False
CUST000371,What are your business hours? Can someone respond?,0.598,50,False
CUST000372,What payment methods do you accept? Can someone respond?,0.587,56,False
CUST000373,"Hi, I'd like to check the status of my order. Please help.",0.412,58,False
CUST000374,The product quality is terrible. I'm very disappointed. Please help.,0.074,68,True
CUST000375,I'm looking for a gift for my friend. Please help.,0.581,50,False
CUST000376,I've been waiting for my order for 3 weeks! This is unacceptable. Thank you.,0.121,76,True
CUST000377,I want a refund immediately. This is the worst experience ever. Can someone respond?,0.129,84,True
CUST000378,What payment methods do you accept? Please help.,0.499,48,False
CUST000379,I'll definitely shop here again. Great job! I need assistance.,0.789,62,False
CUST000380,Can you explain your warranty policy? Please help.,0.451,50,False
CUST000381,Can you help me with product recommendations? Thank you.,0.561,56,False
CUST000382,I've been a customer for years and this is how you treat me? Looking forward to your reply.,0.252,91,False
