customer_id,age,gender,location,membership_tier,account_age_days,recency,frequency,monetary_value,avg_order_value,total_orders,days_since_last_login,cart_abandonment_rate,email_open_rate,support_tickets,frustration_index,chat_log,chat_sentiment_score,chat_length,has_negative_keywords,review_text,review_rating,review_sentiment_score,review_length,sentiment_score_avg,text_engagement_score,total_spent_per_day,order_frequency_per_month,churn,churn_probability
CUST000017,35,Female,Suburban,Bronze,589,589,1,33.32,33.32,1,107,0.312,0.242,1,0.93,My package was damaged and you're refusing to help. Can someone respond?,0.125,72,True,Not worth the price. Very disappointed.,1,0.067,39,0.096,0.555,0.05647457627118644,0.048465266558966075,1,0.826
CUST000018,62,Male,Rural,Platinum,242,242,1,21.95,21.95,1,69,0.174,0.057,0,0.365,I'd like to know about your loyalty program. Looking forward to your reply.,0.589,75,False,Meets basic expectations. No complaints.,3,0.465,40,0.527,0.575,0.09032921810699589,0.11029411764705882,1,0.552
CUST000019,39,Other,Rural,Platinum,561,0,8,1142.1,142.76,8,4,0.307,0.234,2,0.219,I love your service! Keep up the great work. Looking forward to your reply.,0.715,75,False,Outstanding product and customer service. Will buy again!,5,0.784,57,0.7495,0.66,2.03220640569395,0.40609137055837563,0,0.22
CUST000020,56,Other,Rural,Bronze,563,0,25,1652.18,66.09,25,7,0.176,0.247,1,0.082,The product quality is excellent. Highly recommend! Please help.,0.945,64,False,Excellent product! Exceeded my expectations. Highly recommend!,5,0.867,62,0.9059999999999999,0.63,2.9293971631205675,1.2647554806070826,0,0.0
CUST000021,21,Female,Suburban,Bronze,664,0,3,171.18,57.06,3,9,0.024,0.868,2,0.178,I'm so satisfied with my purchase. Thank you! Looking forward to your reply.,0.802,76,False,Fantastic product. Exceeded expectations. 5 stars!,5,0.805,50,0.8035000000000001,0.63,0.2574135338345865,0.12968299711815562,0,0.363
CUST000022,24,Male,Rural,Silver,460,0,5,200.61,40.12,5,2,0.317,0.576,0,0.393,I have a question about shipping options. I need assistance.,0.432,60,False,It's decent for the price. Could be better.,3,0.58,43,0.506,0.515,0.43516268980477224,0.3061224489795918,0,0.356
CUST000023,70,Other,Suburban,Platinum,603,0,4,391.19,97.8,4,2,0.798,0.159,2,0.693,I paid for express shipping but it's been delayed. Thank you.,0.214,61,False,Customer service was unhelpful and rude.,2,0.071,40,0.1425,0.505,0.6476655629139073,0.1895734597156398,1,0.508
CUST000024,70,Female,Urban,Platinum,374,0,3,250.59,83.53,3,0,0.075,0.389,1,0.1,I'll definitely shop here again. Great job! Looking forward to your reply.,0.897,74,False,Excellent product! Exceeded my expectations. Highly recommend!,5,0.87,62,0.8835,0.68,0.6682400000000001,0.22277227722772278,0,0.288
CUST000025,66,Female,Rural,Platinum,678,0,2,38.07,19.04,2,3,0.794,0.278,0,0.906,My package was damaged and you're refusing to help. Please help.,0.08,64,True,Product doesn't work as advertised. Very frustrating.,2,0.073,53,0.0765,0.585,0.05606774668630339,0.0847457627118644,1,0.536
CUST000026,47,Male,Rural,Silver,220,0,15,1641.23,109.42,15,1,0.347,0.179,5,0.888,Your customer service is terrible. No one responds to my emails. Thank you.,0.289,75,True,Arrived damaged and seller refused to help. Avoid!,1,0.256,50,0.27249999999999996,0.625,7.426380090497737,1.8000000000000003,0,0.229
CUST000027,58,Other,Urban,Platinum,560,0,6,208.31,34.72,6,5,0.395,0.339,1,0.173,The packaging was perfect and the product arrived safely. Looking forward to your reply.,0.871,88,False,Best purchase I've made. Great value for money.,4,0.729,47,0.8,0.675,0.371319073083779,0.30508474576271183,0,0.303
CUST000028,45,Other,Suburban,Platinum,421,0,2,43.91,21.95,2,10,0.311,0.879,2,0.098,The packaging was perfect and the product arrived safely. Can someone respond?,0.963,78,False,Perfect! Exactly as described. Love it!,4,0.922,39,0.9425,0.585,0.10405213270142179,0.13303769401330376,0,0.375
CUST000029,56,Other,Suburban,Gold,495,0,5,257.16,51.43,5,7,0.385,0.213,0,0.336,Can you explain your warranty policy? Can someone respond?,0.573,58,False,Standard product. Gets the job done.,3,0.583,36,0.578,0.47,0.518467741935484,0.2857142857142857,0,0.365
CUST000030,32,Other,Rural,Platinum,160,0,3,3567.13,1189.04,3,2,0.018,0.13,0,0.356,Can you help me with product recommendations? Can someone respond?,0.54,66,False,Standard product. Gets the job done.,3,0.559,36,0.5495000000000001,0.51,22.15608695652174,0.4736842105263158,0,0.196
CUST000031,49,Male,Urban,Silver,180,180,1,82.33,82.33,1,8,0.276,0.104,1,0.444,Can you explain your warranty policy? Can someone respond?,0.475,58,False,Okay product. Satisfied but not thrilled.,3,0.419,41,0.44699999999999995,0.495,0.45486187845303866,0.14285714285714285,1,0.598
CUST000032,46,Male,Suburban,Bronze,28,0,3,572.55,190.85,3,3,0.235,0.75,2,0.183,Thank you for resolving my issue so quickly. Looking forward to your reply.,0.786,75,False,Outstanding product and customer service. Will buy again!,4,0.877,57,0.8315,0.66,19.74310344827586,1.5517241379310345,0,0.17
CUST000033,32,Female,Urban,Bronze,447,0,9,362.93,40.33,9,10,0.234,0.67,2,0.419,I have a question about shipping options. Please help.,0.508,54,False,It's decent for the price. Could be better.,3,0.527,43,0.5175000000000001,0.485,0.8101116071428571,0.5660377358490566,0,0.087
CUST000034,42,Other,Rural,Gold,266,0,4,161.28,40.32,4,1,0.298,0.398,1,0.16,I love your service! Keep up the great work. Please help.,0.708,57,False,Amazing quality and fast shipping. Very satisfied!,4,0.989,50,0.8485,0.535,0.6040449438202248,0.4054054054054054,0,0.23
CUST000035,26,Other,Urban,Gold,44,44,1,60.7,60.7,1,42,0.386,0.262,1,0.935,Your customer service is terrible. No one responds to my emails. Looking forward to your reply.,0.123,95,True,Product doesn't work as advertised. Very frustrating.,1,0.052,53,0.0875,0.74,1.348888888888889,0.4054054054054054,1,0.635
CUST000036,40,Other,Suburban,Bronze,445,0,5,370.47,74.09,5,2,0.063,0.594,0,0.339,Can you tell me more about this product? Looking forward to your reply.,0.591,71,False,Okay product. Satisfied but not thrilled.,3,0.548,41,0.5695,0.56,0.8306502242152467,0.3157894736842105,0,0.397
CUST000037,61,Male,Suburban,Platinum,53,0,3,542.34,180.78,3,3,0.307,0.711,1,0.406,Can I change my order before it ships? Please help.,0.471,51,False,Product is okay. Does what it's supposed to do.,3,0.552,47,0.5115000000000001,0.49,10.043333333333335,1.0843373493975903,0,0.24
CUST000038,36,Female,Urban,Bronze,221,0,7,216.85,30.98,7,5,0.312,0.161,0,0.107,I love your service! Keep up the great work. Can someone respond?,0.82,65,False,Perfect! Exactly as described. Love it!,5,0.885,39,0.8525,0.52,0.9768018018018018,0.8366533864541832,0,0.063
CUST000039,58,Male,Rural,Silver,373,0,3,244.97,81.66,3,4,0.319,0.573,2,0.408,What payment methods do you accept? Please help.,0.501,48,False,Decent product. Would consider buying again.,3,0.571,44,0.536,0.46,0.655,0.22332506203473945,0,0.195
CUST000040,40,Other,Urban,Gold,258,0,3,109.91,36.64,3,5,0.393,0.167,0,0.423,I'd like to know about your loyalty program. Thank you.,0.405,55,False,Product is okay. Does what it's supposed to do.,3,0.517,47,0.461,0.51,0.4243629343629344,0.3125,0,0.27
CUST000041,59,Male,Urban,Silver,6,0,3,333.37,111.12,3,10,0.772,0.582,5,0.956,The website is broken and I can't complete my purchase. Can someone respond?,0.137,76,True,Arrived damaged and seller refused to help. Avoid!,2,0.164,50,0.15050000000000002,0.63,47.62428571428571,2.5,0,0.327
CUST000042,27,Female,Urban,Silver,372,0,2,94.69,47.34,2,2,0.38,0.373,1,0.349,I'd like to know about your loyalty program. I need assistance.,0.592,63,False,Product is okay. Does what it's supposed to do.,3,0.581,47,0.5865,0.55,0.25386058981233245,0.14925373134328357,0,0.362
CUST000043,67,Female,Urban,Silver,590,590,1,15.69,15.69,1,159,0.647,0.091,5,0.843,I've called multiple times but no one helps me. Thank you.,0.021,58,False,The worst purchase I've made. Don't buy this product.,1,0.096,53,0.0585,0.555,0.026548223350253808,0.04838709677419355,1,0.764
CUST000044,46,Male,Suburban,Gold,38,0,6,390.22,65.04,6,1,0.757,0.278,3,0.79,The product I received was completely different from what I ordered. I need assistance.,0.085,87,False,Customer service was unhelpful and rude.,1,0.053,40,0.069,0.635,10.005641025641026,2.6470588235294117,0,0.437
CUST000045,46,Female,Urban,Platinum,676,0,3,182.38,60.79,3,0,0.362,0.115,2,0.135,The product quality is excellent. Highly recommend! Thank you.,0.812,62,False,Great value and excellent quality. Highly satisfied!,5,0.933,52,0.8725,0.57,0.2693943870014771,0.1274787535410765,0,0.311
CUST000046,31,Male,Rural,Platinum,617,0,7,574.81,82.12,7,1,0.276,0.686,2,0.701,I've called multiple times but no one helps me. I need assistance.,0.096,66,False,Arrived damaged and seller refused to help. Avoid!,1,0.269,50,0.1825,0.58,0.9301132686084141,0.32457496136012365,0,0.415
CUST000047,58,Male,Rural,Gold,594,594,1,48.86,48.86,1,75,0.161,0.248,0,0.594,The product I received was completely different from what I ordered. Thank you.,0.285,79,False,Very disappointed. Not as described. Poor customer service.,2,0.172,59,0.22849999999999998,0.69,0.08211764705882353,0.04807692307692307,1,0.736
CUST000048,74,Male,Suburban,Gold,203,0,3,430.15,143.38,3,7,0.277,0.394,0,0.061,I'm impressed with your customer service. Can someone respond?,0.902,62,False,Fantastic product. Exceeded expectations. 5 stars!,5,0.926,50,0.914,0.56,2.108578431372549,0.38626609442060084,0,0.086
CUST000049,69,Other,Suburban,Bronze,296,296,1,70.03,70.03,1,109,0.133,0.161,4,0.985,The website is broken and I can't complete my purchase. I need assistance.,0.027,74,True,Arrived damaged and seller refused to help. Avoid!,2,0.148,50,0.0875,0.62,0.2357912457912458,0.09202453987730061,1,0.887
CUST000050,46,Male,Rural,Gold,101,0,30,1316.62,43.89,30,5,0.485,0.35,1,0.631,This is ridiculous. I'm never shopping here again. Can someone respond?,0.289,71,False,Customer service was unhelpful and rude.,2,0.112,40,0.20049999999999998,0.555,12.908039215686273,6.870229007633587,0,0.246
CUST000051,63,Female,Rural,Gold,322,322,1,20.46,20.46,1,12,0.232,0.146,0,0.667,Why is my order still pending? I placed it 2 weeks ago! Can someone respond?,0.067,76,False,Cheaply made and overpriced. Regret buying this.,1,0.289,48,0.178,0.62,0.063343653250774,0.08522727272727273,1,0.756
CUST000052,57,Female,Urban,Silver,395,0,15,1558.54,103.9,15,9,0.12,0.753,2,0.442,Can you explain your warranty policy? Looking forward to your reply.,0.493,68,False,Average purchase. No major issues.,3,0.471,34,0.482,0.51,3.9357070707070707,1.0588235294117647,0,0.129
CUST000053,41,Female,Rural,Bronze,304,0,5,524.37,104.87,5,0,0.282,0.515,2,0.153,I'll definitely shop here again. Great job! Looking forward to your reply.,0.905,74,False,Excellent purchase. Great quality and service!,5,0.749,46,0.827,0.6,1.7192459016393442,0.44910179640718567,0,0.095
CUST000054,53,Female,Rural,Platinum,192,0,3,453.42,151.14,3,5,0.224,0.848,1,0.098,I'm impressed with your customer service. Thank you.,0.996,52,False,Great value and excellent quality. Highly satisfied!,5,0.745,52,0.8705,0.52,2.3493264248704664,0.4054054054054054,0,0.045
CUST000055,64,Female,Suburban,Bronze,143,0,6,397.57,66.26,6,8,0.391,0.226,0,0.053,I'm impressed with your customer service. Can someone respond?,0.931,62,False,Amazing quality and fast shipping. Very satisfied!,4,0.983,50,0.9570000000000001,0.56,2.760902777777778,1.0404624277456647,0,0.172
CUST000056,59,Female,Suburban,Silver,436,0,2,89.22,44.61,2,9,0.482,0.843,2,0.754,Your return policy is confusing and unfair. I need assistance.,0.135,62,False,Terrible product quality. Broke after one week. Waste of money.,1,0.039,63,0.08700000000000001,0.625,0.20416475972540046,0.12875536480686695,0,0.476
CUST000057,39,Female,Suburban,Platinum,593,0,8,582.29,72.79,8,6,0.274,0.838,0,0.367,I need help with my account settings. Please help.,0.504,50,False,Decent product. Would consider buying again.,3,0.57,44,0.5369999999999999,0.47,0.9802861952861952,0.3852327447833066,0,0.311
CUST000058,74,Other,Suburban,Bronze,76,0,10,1246.36,124.64,10,6,0.138,0.151,0,0.144,I'm impressed with your customer service. Thank you.,0.818,52,False,Excellent purchase. Great quality and service!,4,0.831,46,0.8245,0.49,16.186493506493505,2.8301886792452833,0,0.102
CUST000059,21,Male,Suburban,Bronze,437,0,3,315.43,105.14,3,10,0.288,0.439,1,0.411,What's the return policy for electronics? Please help.,0.479,54,False,Product is okay. Does what it's supposed to do.,3,0.524,47,0.5015000000000001,0.505,0.7201598173515982,0.19271948608137046,0,0.177
CUST000060,42,Male,Urban,Platinum,376,376,1,30.98,30.98,1,25,0.238,0.457,0,0.364,I'm interested in bulk ordering. Please help.,0.492,45,False,Meets basic expectations. No complaints.,3,0.596,40,0.544,0.425,0.08217506631299736,0.07389162561576355,0,0.443
CUST000061,61,Other,Urban,Silver,685,0,3,110.65,36.88,3,0,0.223,0.573,1,0.209,Your website is easy to use and checkout was smooth. Thank you.,0.723,63,False,Fantastic product. Exceeded expectations. 5 stars!,5,0.739,50,0.731,0.565,0.16129737609329448,0.1258741258741259,0,0.361
CUST000062,65,Male,Rural,Platinum,161,0,4,68.6,17.15,4,5,0.517,0.838,1,0.684,The product I received was completely different from what I ordered. Can someone respond?,0.2,89,False,Cheaply made and overpriced. Regret buying this.,2,0.052,48,0.126,0.685,0.42345679012345677,0.6282722513089005,0,0.482
CUST000063,72,Female,Urban,Silver,678,0,2,30.32,15.16,2,1,0.299,0.703,0,0.441,Can you tell me more about this product? I need assistance.,0.435,59,False,Product is okay. Does what it's supposed to do.,3,0.418,47,0.4265,0.53,0.0446539027982327,0.0847457627118644,0,0.394
CUST000064,33,Other,Rural,Silver,324,0,10,599.58,59.96,10,0,0.306,0.43,2,0.229,Thank you so much! The product exceeded my expectations. Looking forward to your reply.,0.755,87,False,Excellent product! Exceeded my expectations. Highly recommend!,4,0.763,62,0.759,0.745,1.8448615384615386,0.847457627118644,0,0.277
CUST000065,71,Other,Urban,Bronze,6,6,1,23.81,23.81,1,0,0.213,0.429,0,0.388,I need help with my account settings. Looking forward to your reply.,0.524,68,False,Decent product. Would consider buying again.,3,0.474,44,0.499,0.56,3.4014285714285712,0.8333333333333334,0,0.087
CUST000066,19,Other,Rural,Gold,182,0,25,2905.4,116.22,25,0,0.233,0.41,3,0.891,My package was damaged and you're refusing to help. Please help.,0.194,64,True,Low quality and expensive. Would not recommend.,2,0.171,47,0.1825,0.555,15.876502732240438,3.5377358490566038,0,0.096
CUST000067,23,Other,Rural,Silver,145,0,4,104.89,26.22,4,2,0.122,0.859,0,0.428,Can I change my order before it ships? Looking forward to your reply.,0.437,69,False,Meets basic expectations. No complaints.,3,0.457,40,0.447,0.545,0.7184246575342466,0.6857142857142857,0,0.311
CUST000068,39,Other,Suburban,Gold,280,0,3,89.21,29.74,3,3,0.474,0.537,4,0.811,The customer support chat keeps disconnecting. Can someone respond?,0.034,67,False,Poor quality materials. Fell apart quickly.,1,0.119,43,0.0765,0.55,0.3174733096085409,0.29032258064516125,0,0.392
CUST000069,61,Other,Urban,Platinum,5,0,2,142.39,71.19,2,6,0.427,0.839,4,0.678,I've called multiple times but no one helps me. Please help.,0.279,60,False,Customer service was unhelpful and rude.,2,0.167,40,0.22300000000000003,0.5,23.731666666666666,1.7142857142857142,0,0.284
CUST000070,73,Other,Suburban,Bronze,362,0,6,165.71,27.62,6,7,0.627,0.517,2,0.717,Your return policy is confusing and unfair. Thank you.,0.152,54,False,Poor quality materials. Fell apart quickly.,2,0.073,43,0.11249999999999999,0.485,0.45650137741046837,0.45918367346938777,0,0.427
CUST000071,40,Female,Urban,Platinum,17,0,3,86.96,28.99,3,10,0.526,0.416,1,0.738,This is ridiculous. I'm never shopping here again. Thank you.,0.046,61,False,Not worth the price. Very disappointed.,1,0.144,39,0.095,0.5,4.8311111111111105,1.9148936170212767,0,0.327
CUST000072,65,Other,Urban,Platinum,124,0,3,67.71,22.57,3,6,0.235,0.378,2,0.435,What payment methods do you accept? Looking forward to your reply.,0.413,66,False,Fair quality. Worth the money.,3,0.598,30,0.5055,0.48,0.5416799999999999,0.5844155844155844,0,0.417
CUST000073,72,Female,Rural,Silver,41,0,6,366.4,61.07,6,3,0.326,0.871,0,0.084,I love the variety of products you offer. I need assistance.,0.805,60,False,Excellent product! Exceeded my expectations. Highly recommend!,5,0.979,62,0.892,0.61,8.723809523809523,2.535211267605634,0,0.084
CUST000074,50,Other,Suburban,Platinum,29,0,4,131.95,32.99,4,7,0.219,0.892,2,0.404,Can you explain your warranty policy? I need assistance.,0.515,56,False,Average purchase. No major issues.,3,0.568,34,0.5415,0.45,4.3983333333333325,2.0338983050847457,0,0.316
CUST000075,24,Other,Rural,Silver,426,0,9,694.58,77.18,9,4,0.278,0.802,2,0.129,The product quality is excellent. Highly recommend! Please help.,0.818,64,False,Amazing quality and fast shipping. Very satisfied!,5,0.945,50,0.8815,0.57,1.6266510538641687,0.5921052631578948,0,0.0
CUST000076,47,Female,Suburban,Bronze,635,0,6,365.57,60.93,6,1,0.149,0.823,1,0.135,Great prices and fast shipping. Very satisfied! I need assistance.,0.815,66,False,Amazing quality and fast shipping. Very satisfied!,5,0.863,50,0.839,0.58,0.5747955974842767,0.2706766917293233,0,0.238
CUST000077,28,Male,Suburban,Gold,14,0,7,404.32,57.76,7,1,0.359,0.212,0,0.341,What's the return policy for electronics? Thank you.,0.579,52,False,It's fine. Nothing exceptional.,3,0.558,31,0.5685,0.415,26.954666666666665,4.7727272727272725,0,0.453
CUST000078,25,Other,Rural,Platinum,371,0,25,1555.53,62.22,25,5,0.099,0.833,0,0.412,Can you explain your warranty policy? Please help.,0.431,50,False,Average purchase. No major issues.,3,0.517,34,0.474,0.42,4.181532258064516,1.8703241895261844,0,0.138
CUST000079,38,Female,Urban,Gold,608,0,4,778.77,194.69,4,0,0.373,0.119,0,0.349,What payment methods do you accept? Thank you.,0.539,46,False,Average purchase. No major issues.,3,0.584,34,0.5615,0.4,1.278768472906404,0.18808777429467086,0,0.253
CUST000080,52,Female,Rural,Bronze,387,387,1,58.31,58.31,1,71,0.037,0.28,2,0.146,I'll definitely shop here again. Great job! Can someone respond?,0.873,64,False,Excellent product! Exceeded my expectations. Highly recommend!,4,0.882,62,0.8775,0.63,0.15028350515463917,0.07194244604316546,1,0.745
CUST000081,75,Other,Suburban,Gold,261,0,25,1107.22,44.29,25,4,0.072,0.355,1,0.396,I'd like to know about your loyalty program. Can someone respond?,0.516,65,False,Fair quality. Worth the money.,3,0.526,30,0.521,0.475,4.226030534351145,2.577319587628866,0,0.105
CUST000082,32,Male,Suburban,Bronze,247,0,4,804.35,201.09,4,8,0.124,0.492,1,0.144,I appreciate the quick response to my inquiry. Looking forward to your reply.,0.763,77,False,Best purchase I've made. Great value for money.,4,0.969,47,0.866,0.62,3.2433467741935487,0.43321299638989175,0,0.219
CUST000083,23,Male,Urban,Silver,710,0,4,82.91,20.73,4,8,0.555,0.843,1,0.706,The product I received was completely different from what I ordered. Can someone respond?,0.169,89,False,Customer service was unhelpful and rude.,2,0.02,40,0.0945,0.645,0.11661040787623066,0.16216216216216214,0,0.442
CUST000084,68,Female,Urban,Silver,343,0,2,202.68,101.34,2,2,0.265,0.069,3,0.742,I paid for express shipping but it's been delayed. Looking forward to your reply.,0.12,81,False,Cheaply made and overpriced. Regret buying this.,1,0.168,48,0.14400000000000002,0.645,0.589186046511628,0.16085790884718498,1,0.555
CUST000085,40,Female,Urban,Bronze,5,0,6,342.19,57.03,6,1,0.03,0.236,1,0.213,Thank you so much! The product exceeded my expectations. I need assistance.,0.708,75,False,Excellent product! Exceeded my expectations. Highly recommend!,5,0.747,62,0.7275,0.685,57.031666666666666,5.142857142857142,0,0.291
CUST000086,42,Male,Rural,Bronze,170,0,15,815.43,54.36,15,10,0.347,0.48,2,0.423,"Hi, I'd like to check the status of my order. Can someone respond?",0.459,66,False,Average purchase. No major issues.,3,0.579,34,0.519,0.5,4.76859649122807,2.25,0,0.216
CUST000087,74,Male,Suburban,Gold,650,0,3,134.28,44.76,3,1,0.035,0.545,1,0.101,The packaging was perfect and the product arrived safely. Thank you.,0.945,68,False,Excellent purchase. Great quality and service!,5,0.803,46,0.874,0.57,0.2062672811059908,0.1323529411764706,0,0.216
CUST000088,53,Female,Suburban,Platinum,718,0,7,615.18,87.88,7,10,0.039,0.795,2,0.129,I'm so satisfied with my purchase. Thank you! I need assistance.,0.788,64,False,Perfect! Exactly as described. Love it!,5,0.985,39,0.8865000000000001,0.515,0.8556050069541028,0.2807486631016043,0,0.2
CUST000089,26,Female,Rural,Platinum,402,0,2,85.11,42.55,2,8,0.703,0.057,1,0.601,The product I received was completely different from what I ordered. Please help.,0.268,81,False,Arrived damaged and seller refused to help. Avoid!,2,0.24,50,0.254,0.655,0.2111910669975186,0.1388888888888889,1,0.524
CUST000090,30,Male,Urban,Silver,697,0,3,100.25,33.42,3,1,0.228,0.409,5,0.961,The product quality is terrible. I'm very disappointed. I need assistance.,0.19,74,True,The worst purchase I've made. Don't buy this product.,2,0.077,53,0.1335,0.635,0.14362464183381088,0.12379642365887207,0,0.381
CUST000091,28,Other,Urban,Silver,68,0,2,67.21,33.6,2,10,0.11,0.816,2,0.39,What's the return policy for electronics? I need assistance.,0.597,60,False,Okay product. Satisfied but not thrilled.,3,0.505,41,0.5509999999999999,0.505,0.9740579710144927,0.6122448979591837,0,0.251
CUST000092,72,Female,Suburban,Gold,507,0,4,119.19,29.8,4,5,0.545,0.677,5,0.707,I paid for express shipping but it's been delayed. Thank you.,0.195,61,False,Terrible product quality. Broke after one week. Waste of money.,2,0.249,63,0.222,0.62,0.2346259842519685,0.223463687150838,0,0.269
CUST000093,59,Female,Suburban,Gold,302,0,3,397.06,132.35,3,5,0.262,0.278,2,0.167,I'm impressed with your customer service. I need assistance.,0.753,60,False,Wonderful product. Fast delivery. Highly recommend!,4,0.974,51,0.8634999999999999,0.555,1.3104290429042904,0.2710843373493976,0,0.355
CUST000094,32,Other,Suburban,Platinum,391,0,3,26.42,8.81,3,6,0.79,0.814,2,0.734,The customer support chat keeps disconnecting. Thank you.,0.05,57,False,The worst purchase I've made. Don't buy this product.,1,0.221,53,0.1355,0.55,0.06739795918367347,0.21377672209026127,0,0.446
CUST000095,47,Male,Suburban,Silver,648,0,4,76.83,19.21,4,3,0.014,0.103,4,0.773,Your return policy is confusing and unfair. I need assistance.,0.087,62,False,Terrible product quality. Broke after one week. Waste of money.,2,0.107,63,0.097,0.625,0.11838212634822803,0.17699115044247787,0,0.382
CUST000096,64,Male,Urban,Gold,411,411,1,117.26,117.26,1,175,0.398,0.136,1,0.406,I need to update my delivery address. I need assistance.,0.513,56,False,Decent product. Would consider buying again.,3,0.495,44,0.504,0.5,0.2846116504854369,0.06802721088435375,1,0.715
